# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1: The momentum transfer sqrt(t) [GeV]
# Columns 2: The value of the Dirac form factor
# Columns 3: The value of the Pauli form factor
#     sqrt(t)[GeV]    F1p                            F2p
      0.00000000      (1.00000000+-0.00000000j)      (1.79284734+-0.00000000j)
      0.00500000      (1.00006318+-0.00000000j)      (1.79300008+0.00000000j)
      0.01000000      (1.00025277+-0.00000000j)      (1.79345844+0.00000000j)
      0.01500000      (1.00056889+-0.00000000j)      (1.79422288+0.00000000j)
      0.02000000      (1.00101175+-0.00000000j)      (1.79529420+-0.00000000j)
      0.02500000      (1.00158165+-0.00000000j)      (1.79667347+0.00000000j)
      0.03000000      (1.00227896+-0.00000000j)      (1.79836213+-0.00000000j)
      0.03500000      (1.00310416+-0.00000000j)      (1.80036189+0.00000000j)
      0.04000000      (1.00405778+-0.00000000j)      (1.80267483+0.00000000j)
      0.04500000      (1.00514048+-0.00000000j)      (1.80530335+-0.00000000j)
      0.05000000      (1.00635297+-0.00000000j)      (1.80825022+0.00000000j)
      0.05500000      (1.00769607+0.00000000j)      (1.81151853+-0.00000000j)
      0.06000000      (1.00917070+-0.00000000j)      (1.81511176+0.00000000j)
      0.06500000      (1.01077785+-0.00000000j)      (1.81903378+0.00000000j)
      0.07000000      (1.01251861+-0.00000000j)      (1.82328885+-0.00000000j)
      0.07500000      (1.01439418+0.00000000j)      (1.82788164+-0.00000000j)
      0.08000000      (1.01640585+-0.00000000j)      (1.83281726+0.00000000j)
      0.08500000      (1.01855501+-0.00000000j)      (1.83810129+-0.00000000j)
      0.09000000      (1.02084316+-0.00000000j)      (1.84373977+0.00000000j)
      0.09500000      (1.02327188+-0.00000000j)      (1.84973926+-0.00000000j)
      0.10000000      (1.02584290+-0.00000000j)      (1.85610686+-0.00000000j)
      0.10500000      (1.02855804+-0.00000000j)      (1.86285025+0.00000000j)
      0.11000000      (1.03141923+-0.00000000j)      (1.86997773+0.00000000j)
      0.11500000      (1.03442853+-0.00000000j)      (1.87749825+0.00000000j)
      0.12000000      (1.03758813+-0.00000000j)      (1.88542148+0.00000000j)
      0.12500000      (1.04090034+-0.00000000j)      (1.89375785+-0.00000000j)
      0.13000000      (1.04436760+-0.00000000j)      (1.90251863+0.00000000j)
      0.13500000      (1.04799251+-0.00000000j)      (1.91171601+0.00000000j)
      0.14000000      (1.05177778+-0.00000000j)      (1.92136314+0.00000000j)
      0.14500000      (1.05572630+-0.00000000j)      (1.93147430+0.00000000j)
      0.15000000      (1.05984111+0.00000000j)      (1.94206495+0.00000000j)
      0.15500000      (1.06412541+-0.00000000j)      (1.95315190+0.00000000j)
      0.16000000      (1.06858259+-0.00000000j)      (1.96475345+-0.00000000j)
      0.16500000      (1.07321620+-0.00000000j)      (1.97688956+0.00000000j)
      0.17000000      (1.07802999+-0.00000000j)      (1.98958210+0.00000000j)
      0.17500000      (1.08302794+-0.00000000j)      (2.00285506+0.00000000j)
      0.18000000      (1.08821422+-0.00000000j)      (2.01673490+0.00000000j)
      0.18500000      (1.09359322+-0.00000000j)      (2.03125092+0.00000000j)
      0.19000000      (1.09916962+-0.00000000j)      (2.04643568+-0.00000000j)
      0.19500000      (1.10494832+-0.00000000j)      (2.06232564+0.00000000j)
      0.20000000      (1.11093455+-0.00000000j)      (2.07896182+0.00000000j)
      0.20500000      (1.11713381+-0.00000000j)      (2.09639076+0.00000000j)
      0.21000000      (1.12355199+-0.00000000j)      (2.11466569+0.00000000j)
      0.21500000      (1.13019531+-0.00000000j)      (2.13384810+-0.00000000j)
      0.22000000      (1.13707047+-0.00000000j)      (2.15400986+0.00000000j)
      0.22500000      (1.14418461+-0.00000000j)      (2.17523611+0.00000000j)
      0.23000000      (1.15154547+-0.00000000j)      (2.19762939+0.00000000j)
      0.23500000      (1.15916146+-0.00000000j)      (2.22131557+-0.00000000j)
      0.24000000      (1.16704181+-0.00000000j)      (2.24645300+0.00000000j)
      0.24500000      (1.17519683+-0.00000000j)      (2.27324682+0.00000000j)
      0.25000000      (1.18363827+-0.00000000j)      (2.30197309+0.00000000j)
      0.25500000      (1.19237998+-0.00000000j)      (2.33302237+-0.00000000j)
      0.26000000      (1.20143918+-0.00000000j)      (2.36698635+-0.00000000j)
      0.26500000      (1.21083925+-0.00000000j)      (2.40485593+-0.00000000j)
      0.27000000      (1.22061744+-0.00000000j)      (2.44858371+0.00000000j)
      0.27500000      (1.23085723+-0.00000000j)      (2.50349884+0.00000000j)
      0.28000000      (1.24199944+0.00047412j)      (2.60187731+0.03706169j)
      0.28500000      (1.25248341+0.00131284j)      (2.62061511+0.09825133j)
      0.29000000      (1.26330012+0.00189369j)      (2.63988395+0.13581507j)
      0.29500000      (1.27446029+0.00242302j)      (2.65969714+0.16668859j)
      0.30000000      (1.28597521+0.00294020j)      (2.68006848+0.19418609j)
      0.30500000      (1.29785671+0.00346161j)      (2.70101234+0.21966980j)
      0.31000000      (1.31011723+0.00399626j)      (2.72254363+0.24385954j)
      0.31500000      (1.32276988+0.00455007j)      (2.74467784+0.26719305j)
      0.32000000      (1.33582843+0.00512748j)      (2.76743111+0.28996244j)
      0.32500000      (1.34930740+0.00573209j)      (2.79082016+0.31237650j)
      0.33000000      (1.36322213+0.00636709j)      (2.81486240+0.33459262j)
      0.33500000      (1.37758878+0.00703541j)      (2.83957592+0.35673479j)
      0.34000000      (1.39242447+0.00773988j)      (2.86497952+0.37890447j)
      0.34500000      (1.40774731+0.00848331j)      (2.89109274+0.40118740j)
      0.35000000      (1.42357655+0.00926852j)      (2.91793588+0.42365823j)
      0.35500000      (1.43993264+0.01009840j)      (2.94553005+0.44638358j)
      0.36000000      (1.45683742+0.01097593j)      (2.97389717+0.46942435j)
      0.36500000      (1.47431427+0.01190426j)      (3.00306003+0.49283732j)
      0.37000000      (1.49238836+0.01288664j)      (3.03304228+0.51667644j)
      0.37500000      (1.51108697+0.01392653j)      (3.06386847+0.54099374j)
      0.38000000      (1.53043994+0.01502758j)      (3.09556406+0.56584016j)
      0.38500000      (1.55048036+0.01619365j)      (3.12815541+0.59126612j)
