# This file contains data for the Dirac and Pauli proton electromagnetic form factors in the time-like region, based on the Unitary and Analytic (UA) model for dark vector production,
# as presented in "A Closer Look at Dark Vector Splitting Functions in Proton Bremsstrahlung" by S. Foroughi-Abari, P. Reimitz, and A. Ritz.
# Column descriptions:
# Column  1    : The momentum transfer sqrt(t) [GeV]
# Columns 2 & 3: Uncertainty band (minimum and maximum) of the Dirac form factor
# Columns 4 & 5: Uncertainty band (minimum and maximum) of the Pauli form factor
#     sqrt(t)[GeV]    F1Pmin                         F1Pmax                        F2Pmin                        F2Pmax 
      0.00000000      (1.00000000+-0.00000000j)      (1.00000000+0.00000000j)      (1.79284734+0.00000000j)      (1.79284734+0.00000000j)
      0.01000000      (1.00023564+-0.00000000j)      (1.00027031+0.00000000j)      (1.79345159+0.00000000j)      (1.79346608+-0.00000000j)
      0.02000000      (1.00094315+0.00000000j)      (1.00108196+0.00000000j)      (1.79526676+0.00000000j)      (1.79532480+0.00000000j)
      0.03000000      (1.00212434+-0.00000000j)      (1.00243713+-0.00000000j)      (1.79830026+0.00000000j)      (1.79843111+0.00000000j)
      0.04000000      (1.00378223+-0.00000000j)      (1.00433950+-0.00000000j)      (1.80256454+0.00000000j)      (1.80279782+0.00000000j)
      0.05000000      (1.00592109+0.00000000j)      (1.00679421+-0.00000000j)      (1.80807726+0.00000000j)      (1.80844309+-0.00000000j)
      0.06000000      (1.00854643+-0.00000000j)      (1.00980799+-0.00000000j)      (1.81486157+0.00000000j)      (1.81539073+0.00000000j)
      0.07000000      (1.01166505+-0.00000000j)      (1.01338911+-0.00000000j)      (1.82294648+-0.00000000j)      (1.82367057+-0.00000000j)
      0.08000000      (1.01528508+-0.00000000j)      (1.01754755+0.00000000j)      (1.83236729+0.00000000j)      (1.83331890+0.00000000j)
      0.09000000      (1.01941603+0.00000000j)      (1.02229497+-0.00000000j)      (1.84316620+0.00000000j)      (1.84437911+0.00000000j)
      0.10000000      (1.02406884+0.00000000j)      (1.02764490+-0.00000000j)      (1.85539304+-0.00000000j)      (1.85690244+0.00000000j)
      0.11000000      (1.02925592+-0.00000000j)      (1.03361282+-0.00000000j)      (1.86910624+0.00000000j)      (1.87094892+0.00000000j)
      0.12000000      (1.03499125+-0.00000000j)      (1.04021626+0.00000000j)      (1.88437397+0.00000000j)      (1.88658865+0.00000000j)
      0.13000000      (1.04129045+-0.00000000j)      (1.04747504+-0.00000000j)      (1.90127574+0.00000000j)      (1.90390329+0.00000000j)
      0.14000000      (1.04817085+-0.00000000j)      (1.05541140+-0.00000000j)      (1.91990429+0.00000000j)      (1.92298814+0.00000000j)
      0.15000000      (1.05565159+-0.00000000j)      (1.06405028+-0.00000000j)      (1.94036817+0.00000000j)      (1.94395467+0.00000000j)
      0.16000000      (1.06375371+-0.00000000j)      (1.07341962+0.00000000j)      (1.96279514+-0.00000000j)      (1.96693407+0.00000000j)
      0.17000000      (1.07250022+-0.00000000j)      (1.08355070+-0.00000000j)      (1.98733677+0.00000000j)      (1.99208190+0.00000000j)
      0.18000000      (1.08191621+-0.00000000j)      (1.09447861+-0.00000000j)      (2.01417483+0.00000000j)      (2.01958466+0.00000000j)
      0.19000000      (1.09202884+-0.00000000j)      (1.10624290+-0.00000000j)      (2.04353048+0.00000000j)      (2.04966914+0.00000000j)
      0.20000000      (1.10286736+0.00000000j)      (1.11888839+-0.00000000j)      (2.07567787+0.00000000j)      (2.08261634+0.00000000j)
      0.21000000      (1.11446294+0.00000000j)      (1.13246634+-0.00000000j)      (2.11096537+-0.00000000j)      (2.11878312+0.00000000j)
      0.22000000      (1.12684824+-0.00000000j)      (1.14703633+0.00000000j)      (2.14985048+0.00000000j)      (2.15863777+-0.00000000j)
      0.23000000      (1.14005643+-0.00000000j)      (1.16266920+0.00000000j)      (2.19296153+0.00000000j)      (2.20282297+0.00000000j)
      0.24000000      (1.15411881+-0.00000000j)      (1.17945259+-0.00000000j)      (2.24121783+0.00000000j)      (2.25227822+0.00000000j)
      0.25000000      (1.16905897+-0.00000000j)      (1.19750258+0.00000000j)      (2.29609730+0.00000000j)      (2.30851248+0.00000000j)
      0.26000000      (1.18487522+-0.00000000j)      (1.21699465+-0.00000000j)      (2.36037093+0.00000000j)      (2.37435220+0.00000000j)
      0.27000000      (1.20146549+0.00000000j)      (1.23828525+-0.00000000j)      (2.44106790+0.00000000j)      (2.45696023+0.00000000j)
      0.28000000      (1.21747580+-0.00100275j)      (1.26365164+0.00145636j)      (2.59284781+0.03676501j)      (2.61197995+0.03741109j)
      0.29000000      (1.23808314+-0.00348094j)      (1.28584669+0.00546844j)      (2.63021107+0.13469809j)      (2.65067295+0.13712633j)
      0.30000000      (1.26003497+-0.00468875j)      (1.30945817+0.00801460j)      (2.66970848+0.19254492j)      (2.69158719+0.19610672j)
      0.31000000      (1.28342336+-0.00551174j)      (1.33457972+0.01032086j)      (2.71145135+0.24174113j)      (2.73483800+0.24633110j)
      0.32000000      (1.30835013+-0.00608871j)      (1.36131478+0.01258881j)      (2.75555844+0.28737287j)      (2.78054993+0.29297465j)
      0.33000000      (1.33492823+-0.00646866j)      (1.38977788+0.01490635j)      (2.80215803+0.33152016j)      (2.82885750+0.33815605j)
      0.34000000      (1.36328344+-0.00667056j)      (1.42009640+0.01732743j)      (2.85138864+0.37532649j)      (2.87990603+0.38304232j)
      0.35000000      (1.39355659+-0.00669915j)      (1.45241272+0.01989294j)      (2.90339991+0.41954383j)      (2.93385251+0.42840313j)
      0.36000000      (1.42590651+-0.00655073j)      (1.48688715+0.02263863j)      (2.95835342+0.46473544j)      (2.99086650+0.47481707j)
      0.37000000      (1.46051437+-0.00621551j)      (1.52370230+0.02559885j)      (3.01642361+0.51136806j)      (3.05113106+0.52276543j)
      0.38000000      (1.49759074+-0.00567872j)      (1.56307003+0.02880867j)      (3.07779846+0.55986034j)      (3.11484357+0.57268161j)
      0.39000000      (1.53738924+-0.00492087j)      (1.60524513+0.03230533j)      (3.14267992+0.61061154j)      (3.18226038+0.62498039j)
      0.40000000      (1.58024017+-0.00391773j)      (1.65055897+0.03612943j)      (3.21128272+0.66402051j)      (3.25359043+0.68007738j)
      0.41000000      (1.62668056+-0.00264001j)      (1.69954960+0.04032598j)      (3.28382530+0.72049975j)      (3.32904951+0.73840351j)
      0.42000000      (1.67896830+0.00068930j)      (1.75447840+0.04669039j)      (3.36040450+0.78033804j)      (3.40875005+0.80026901j)
      0.43000000      (1.73049539+0.00632385j)      (1.80872583+0.05549267j)      (3.44189802+0.84399782j)      (3.49358162+0.86616654j)
      0.44000000      (1.78589828+0.01111587j)      (1.86693434+0.06359628j)      (3.52818148+0.91228231j)      (3.58349226+0.93691306j)
      0.45000000      (1.84555450+0.01614996j)      (1.92947982+0.07210488j)      (3.61963103+0.98567650j)      (3.67883286+1.01302723j)
      0.46000000      (1.90989030+0.02168734j)      (1.99678595+0.08129858j)      (3.71660439+1.06481161j)      (3.77998438+1.09517446j)
      0.47000000      (1.97938830+0.02789840j)      (2.06933163+0.09136798j)      (3.81948705+1.15041208j)      (3.88735365+1.18411829j)
      0.48000000      (2.05459671+0.03493816j)      (2.14765991+0.10249007j)      (3.92869328+1.24330521j)      (4.00137954+1.28073097j)
      0.49000000      (2.13614027+0.04296933j)      (2.23238858+0.11485153j)      (4.04466664+1.34443836j)      (4.12253214+1.38601190j)
      0.50000000      (2.22473343+0.05217409j)      (2.32422292+0.12866097j)      (4.16787955+1.45490095j)      (4.25131222+1.50111090j)
      0.51000000      (2.32119627+0.06276309j)      (2.42397111+0.14415818j)      (4.29883160+1.57595122j)      (4.38825248+1.62735666j)
      0.52000000      (2.42647380+0.07498434j)      (2.53256277+0.16162347j)      (4.43804579+1.70904883j)      (4.53390517+1.76629126j)
      0.53000000      (2.54165955+0.08913327j)      (2.65107178+0.18138813j)      (4.58606183+1.85589439j)      (4.68884192+1.91971221j)
      0.54000000      (2.66802456+0.10556488j)      (2.78074412+0.20384697j)      (4.74339908+2.01846536j)      (4.85364058+2.08972352j)
      0.55000000      (2.80705316+0.12470881j)      (2.92303232+0.22947388j)      (4.91057126+2.19910784j)      (5.02886610+2.27879827j)
      0.56000000      (2.96048763+0.14708846j)      (3.07963836+0.25884131j)      (5.08809819+2.40059717j)      (5.21504190+2.48985495j)
      0.57000000      (3.13038426+0.17334551j)      (3.25256749+0.29264514j)      (5.27640320+2.62618575j)      (5.41260688+2.72635102j)
