#     mass     R_mu^F
 9.8800e-01  0.0000e+00
 9.8850e-01  1.1607e-04
 9.8900e-01  3.6378e-04
 9.8950e-01  7.3798e-04
 9.9000e-01  1.2507e-03
 9.9050e-01  1.9188e-03
 9.9100e-01  2.7620e-03
 9.9150e-01  3.8025e-03
 9.9200e-01  5.0653e-03
 9.9250e-01  6.5779e-03
 9.9300e-01  8.3709e-03
 9.9350e-01  1.0478e-02
 9.9400e-01  1.2937e-02
 9.9450e-01  1.5788e-02
 9.9500e-01  1.9078e-02
 9.9550e-01  2.2859e-02
 9.9600e-01  2.7186e-02
 9.9650e-01  3.2125e-02
 9.9700e-01  3.7746e-02
 9.9750e-01  4.4129e-02
 9.9800e-01  5.1365e-02
 9.9850e-01  5.9556e-02
 9.9900e-01  6.8818e-02
 9.9950e-01  7.9280e-02
 1.0000e+00  9.1093e-02
 1.0005e+00  1.0443e-01
 1.0010e+00  1.1948e-01
 1.0015e+00  1.3647e-01
 1.0020e+00  1.5565e-01
 1.0025e+00  1.7734e-01
 1.0030e+00  2.0188e-01
 1.0035e+00  2.2967e-01
 1.0040e+00  2.6119e-01
 1.0045e+00  2.9701e-01
 1.0050e+00  3.3778e-01
 1.0055e+00  3.8430e-01
 1.0060e+00  4.3750e-01
 1.0065e+00  4.9853e-01
 1.0070e+00  5.6876e-01
 1.0075e+00  6.4984e-01
 1.0080e+00  7.4382e-01
 1.0085e+00  8.5322e-01
 1.0090e+00  9.8116e-01
 1.0095e+00  1.1316e+00
 1.0100e+00  1.3094e+00
 1.0105e+00  1.5209e+00
 1.0110e+00  1.7744e+00
 1.0115e+00  2.0802e+00
 1.0120e+00  2.4523e+00
 1.0125e+00  2.9093e+00
 1.0130e+00  3.4758e+00
 1.0135e+00  4.1857e+00
 1.0140e+00  5.0852e+00
 1.0145e+00  6.2380e+00
 1.0150e+00  7.7325e+00
 1.0155e+00  9.6893e+00
 1.0160e+00  1.2268e+01
 1.0165e+00  1.5663e+01
 1.0170e+00  2.0061e+01
 1.0175e+00  2.5509e+01
 1.0180e+00  3.1626e+01
 1.0185e+00  3.7260e+01
 1.0190e+00  4.0606e+01
 1.0195e+00  4.0369e+01
 1.0200e+00  3.6926e+01
 1.0205e+00  3.1867e+01
 1.0210e+00  2.6657e+01
 1.0215e+00  2.2058e+01
 1.0220e+00  1.8276e+01
 1.0225e+00  1.5259e+01
 1.0230e+00  1.2873e+01
 1.0235e+00  1.0981e+01
 1.0240e+00  9.4712e+00
 1.0245e+00  8.2536e+00
 1.0250e+00  7.2614e+00
 1.0255e+00  6.4442e+00
 1.0260e+00  5.7642e+00
 1.0265e+00  5.1928e+00
 1.0270e+00  4.7082e+00
 1.0275e+00  4.2938e+00
 1.0280e+00  3.9367e+00
 1.0285e+00  3.6268e+00
 1.0290e+00  3.3559e+00
 1.0295e+00  3.1178e+00
 1.0300e+00  2.9073e+00
 1.0305e+00  2.7202e+00
 1.0310e+00  2.5530e+00
 1.0315e+00  2.4031e+00
 1.0320e+00  2.2680e+00
 1.0325e+00  2.1459e+00
 1.0330e+00  2.0350e+00
 1.0335e+00  1.9340e+00
 1.0340e+00  1.8417e+00
 1.0345e+00  1.7571e+00
 1.0350e+00  1.6794e+00
 1.0355e+00  1.6078e+00
 1.0360e+00  1.5416e+00
 1.0365e+00  1.4804e+00
 1.0370e+00  1.4236e+00
 1.0375e+00  1.3708e+00
 1.0380e+00  1.3216e+00
 1.0385e+00  1.2756e+00
 1.0390e+00  1.2327e+00
 1.0395e+00  1.1925e+00
 1.0400e+00  1.1548e+00
 1.0405e+00  1.1194e+00
 1.0410e+00  1.0860e+00
 1.0415e+00  1.0547e+00
 1.0420e+00  1.0251e+00
 1.0425e+00  9.9714e-01
 1.0430e+00  9.7073e-01
 1.0435e+00  9.4574e-01
 1.0440e+00  9.2207e-01
 1.0445e+00  8.9963e-01
 1.0450e+00  8.7833e-01
 1.0455e+00  8.5810e-01
 1.0460e+00  8.3886e-01
 1.0465e+00  8.2056e-01
 1.0470e+00  8.0313e-01
 1.0475e+00  7.8652e-01
 1.0480e+00  7.7068e-01
 1.0485e+00  7.5557e-01
 1.0490e+00  7.4114e-01
 1.0495e+00  7.2735e-01
 1.0500e+00  7.1417e-01
 1.0505e+00  7.0157e-01
 1.0510e+00  6.8950e-01
 1.0515e+00  6.7795e-01
 1.0520e+00  6.6689e-01
 1.0525e+00  6.5629e-01
 1.0530e+00  6.4612e-01
 1.0535e+00  6.3637e-01
 1.0540e+00  6.2701e-01
 1.0545e+00  6.1803e-01
 1.0550e+00  6.0941e-01
 1.0555e+00  6.0112e-01
 1.0560e+00  5.9317e-01
 1.0565e+00  5.8551e-01
 1.0570e+00  5.7816e-01
 1.0575e+00  5.7108e-01
 1.0580e+00  5.6428e-01
 1.0585e+00  5.5773e-01
 1.0590e+00  5.5143e-01
 1.0595e+00  5.4536e-01
 1.0600e+00  5.3952e-01
 1.0605e+00  5.3390e-01
 1.0610e+00  5.2848e-01
 1.0615e+00  5.2326e-01
 1.0620e+00  5.1822e-01
 1.0625e+00  5.1337e-01
 1.0630e+00  5.0870e-01
 1.0635e+00  5.0419e-01
 1.0640e+00  4.9984e-01
 1.0645e+00  4.9565e-01
 1.0650e+00  4.9160e-01
 1.0655e+00  4.8770e-01
 1.0660e+00  4.8393e-01
 1.0665e+00  4.8030e-01
 1.0670e+00  4.7679e-01
 1.0675e+00  4.7340e-01
 1.0680e+00  4.7012e-01
 1.0685e+00  4.6696e-01
 1.0690e+00  4.6390e-01
 1.0695e+00  4.6095e-01
 1.0700e+00  4.5809e-01
 1.0705e+00  4.5533e-01
 1.0710e+00  4.5266e-01
 1.0715e+00  4.5008e-01
 1.0720e+00  4.4758e-01
 1.0725e+00  4.4516e-01
 1.0730e+00  4.4282e-01
 1.0735e+00  4.4054e-01
 1.0740e+00  4.3834e-01
 1.0745e+00  4.3621e-01
 1.0750e+00  4.3414e-01
 1.0755e+00  4.3213e-01
 1.0760e+00  4.3017e-01
 1.0765e+00  4.2827e-01
 1.0770e+00  4.2643e-01
 1.0775e+00  4.2463e-01
 1.0780e+00  4.2288e-01
 1.0785e+00  4.2117e-01
 1.0790e+00  4.1951e-01
 1.0795e+00  4.1788e-01
 1.0800e+00  4.1629e-01
