#     mass     R_mu^F
 1.3995e+00  0.0000e+00
 1.4000e+00  1.4266e-03
 1.4005e+00  1.8410e-03
 1.4010e+00  2.2597e-03
 1.4015e+00  2.6827e-03
 1.4020e+00  3.1098e-03
 1.4025e+00  3.5409e-03
 1.4030e+00  3.9759e-03
 1.4035e+00  4.4146e-03
 1.4040e+00  4.8570e-03
 1.4045e+00  5.3029e-03
 1.4050e+00  5.7522e-03
 1.4055e+00  6.2048e-03
 1.4060e+00  6.6605e-03
 1.4065e+00  7.1192e-03
 1.4070e+00  7.5809e-03
 1.4075e+00  8.0453e-03
 1.4080e+00  8.5123e-03
 1.4085e+00  8.9819e-03
 1.4090e+00  9.4538e-03
 1.4095e+00  9.9280e-03
 1.4100e+00  1.0404e-02
 1.4105e+00  1.0883e-02
 1.4110e+00  1.1363e-02
 1.4115e+00  1.1845e-02
 1.4120e+00  1.2328e-02
 1.4125e+00  1.2813e-02
 1.4130e+00  1.3300e-02
 1.4135e+00  1.3787e-02
 1.4140e+00  1.4276e-02
 1.4145e+00  1.4765e-02
 1.4150e+00  1.5255e-02
 1.4155e+00  1.5747e-02
 1.4160e+00  1.6238e-02
 1.4165e+00  1.6730e-02
 1.4170e+00  1.7222e-02
 1.4175e+00  1.7714e-02
 1.4180e+00  1.8207e-02
 1.4185e+00  1.8699e-02
 1.4190e+00  1.9191e-02
 1.4195e+00  1.9682e-02
 1.4200e+00  2.0173e-02
 1.4205e+00  2.0663e-02
 1.4210e+00  2.1152e-02
 1.4215e+00  2.1641e-02
 1.4220e+00  2.2128e-02
 1.4225e+00  2.2614e-02
 1.4230e+00  2.3098e-02
 1.4235e+00  2.3581e-02
 1.4240e+00  2.4062e-02
 1.4245e+00  2.4541e-02
 1.4250e+00  2.5018e-02
 1.4255e+00  2.5493e-02
 1.4260e+00  2.5966e-02
 1.4265e+00  2.6437e-02
 1.4270e+00  2.6904e-02
 1.4275e+00  2.7369e-02
 1.4280e+00  2.7832e-02
 1.4285e+00  2.8291e-02
 1.4290e+00  2.8747e-02
 1.4295e+00  2.9199e-02
 1.4300e+00  2.9648e-02
 1.4305e+00  3.0094e-02
 1.4310e+00  3.0535e-02
 1.4315e+00  3.0973e-02
 1.4320e+00  3.1407e-02
 1.4325e+00  3.1836e-02
 1.4330e+00  3.2261e-02
 1.4335e+00  3.2681e-02
 1.4340e+00  3.3097e-02
 1.4345e+00  3.3508e-02
 1.4350e+00  3.3914e-02
 1.4355e+00  3.4314e-02
 1.4360e+00  3.4710e-02
 1.4365e+00  3.5099e-02
 1.4370e+00  3.5484e-02
 1.4375e+00  3.5862e-02
 1.4380e+00  3.6234e-02
 1.4385e+00  3.6601e-02
 1.4390e+00  3.6960e-02
 1.4395e+00  3.7314e-02
 1.4400e+00  3.7661e-02
 1.4405e+00  3.8001e-02
 1.4410e+00  3.8334e-02
 1.4415e+00  3.8660e-02
 1.4420e+00  3.8979e-02
 1.4425e+00  3.9291e-02
 1.4430e+00  3.9594e-02
 1.4435e+00  3.9891e-02
 1.4440e+00  4.0179e-02
 1.4445e+00  4.0459e-02
 1.4450e+00  4.0731e-02
 1.4455e+00  4.0994e-02
 1.4460e+00  4.1249e-02
 1.4465e+00  4.1495e-02
 1.4470e+00  4.1732e-02
 1.4475e+00  4.1960e-02
 1.4480e+00  4.2179e-02
 1.4485e+00  4.2389e-02
 1.4490e+00  4.2589e-02
 1.4495e+00  4.2779e-02
 1.4500e+00  4.2959e-02
 1.4505e+00  4.3129e-02
 1.4510e+00  4.3290e-02
 1.4515e+00  4.3440e-02
 1.4520e+00  4.3581e-02
 1.4525e+00  4.3713e-02
 1.4530e+00  4.3836e-02
 1.4535e+00  4.3950e-02
 1.4540e+00  4.4055e-02
 1.4545e+00  4.4151e-02
 1.4550e+00  4.4239e-02
 1.4555e+00  4.4319e-02
 1.4560e+00  4.4392e-02
 1.4565e+00  4.4456e-02
 1.4570e+00  4.4513e-02
 1.4575e+00  4.4563e-02
 1.4580e+00  4.4606e-02
 1.4585e+00  4.4642e-02
 1.4590e+00  4.4671e-02
 1.4595e+00  4.4694e-02
 1.4600e+00  4.4711e-02
 1.4605e+00  4.4721e-02
 1.4610e+00  4.4726e-02
 1.4615e+00  4.4725e-02
 1.4620e+00  4.4719e-02
 1.4625e+00  4.4708e-02
 1.4630e+00  4.4692e-02
 1.4635e+00  4.4671e-02
 1.4640e+00  4.4645e-02
 1.4645e+00  4.4616e-02
 1.4650e+00  4.4582e-02
 1.4655e+00  4.4544e-02
 1.4660e+00  4.4503e-02
 1.4665e+00  4.4458e-02
 1.4670e+00  4.4410e-02
 1.4675e+00  4.4360e-02
 1.4680e+00  4.4306e-02
 1.4685e+00  4.4250e-02
 1.4690e+00  4.4192e-02
 1.4695e+00  4.4131e-02
 1.4700e+00  4.4069e-02
 1.4705e+00  4.4006e-02
 1.4710e+00  4.3941e-02
 1.4715e+00  4.3874e-02
 1.4720e+00  4.3807e-02
 1.4725e+00  4.3739e-02
 1.4730e+00  4.3671e-02
 1.4735e+00  4.3602e-02
 1.4740e+00  4.3534e-02
 1.4745e+00  4.3466e-02
 1.4750e+00  4.3398e-02
 1.4755e+00  4.3331e-02
 1.4760e+00  4.3265e-02
 1.4765e+00  4.3200e-02
 1.4770e+00  4.3137e-02
 1.4775e+00  4.3075e-02
 1.4780e+00  4.3015e-02
 1.4785e+00  4.2958e-02
 1.4790e+00  4.2903e-02
 1.4795e+00  4.2850e-02
 1.4800e+00  4.2801e-02
 1.4805e+00  4.2754e-02
 1.4810e+00  4.2711e-02
 1.4815e+00  4.2672e-02
 1.4820e+00  4.2636e-02
 1.4825e+00  4.2604e-02
 1.4830e+00  4.2577e-02
 1.4835e+00  4.2555e-02
 1.4840e+00  4.2537e-02
 1.4845e+00  4.2525e-02
 1.4850e+00  4.2518e-02
 1.4855e+00  4.2516e-02
 1.4860e+00  4.2520e-02
 1.4865e+00  4.2531e-02
 1.4870e+00  4.2548e-02
 1.4875e+00  4.2571e-02
 1.4880e+00  4.2602e-02
 1.4885e+00  4.2639e-02
 1.4890e+00  4.2684e-02
 1.4895e+00  4.2736e-02
 1.4900e+00  4.2797e-02
 1.4905e+00  4.2866e-02
 1.4910e+00  4.2943e-02
 1.4915e+00  4.3028e-02
 1.4920e+00  4.3123e-02
 1.4925e+00  4.3227e-02
 1.4930e+00  4.3341e-02
 1.4935e+00  4.3464e-02
 1.4940e+00  4.3597e-02
 1.4945e+00  4.3741e-02
 1.4950e+00  4.3895e-02
 1.4955e+00  4.4059e-02
 1.4960e+00  4.4235e-02
 1.4965e+00  4.4422e-02
 1.4970e+00  4.4621e-02
 1.4975e+00  4.4832e-02
 1.4980e+00  4.5055e-02
 1.4985e+00  4.5290e-02
 1.4990e+00  4.5538e-02
 1.4995e+00  4.5799e-02
