#     mass     R_mu^F
 1.6355e+00  0.0000e+00
 1.6360e+00  5.6826e-04
 1.6365e+00  1.0713e-03
 1.6370e+00  1.5794e-03
 1.6375e+00  2.0905e-03
 1.6380e+00  2.6045e-03
 1.6385e+00  3.1226e-03
 1.6390e+00  3.6437e-03
 1.6395e+00  4.1688e-03
 1.6400e+00  4.6968e-03
 1.6405e+00  5.2279e-03
 1.6410e+00  5.7620e-03
 1.6415e+00  6.2990e-03
 1.6420e+00  6.8391e-03
 1.6425e+00  7.3822e-03
 1.6430e+00  7.9282e-03
 1.6435e+00  8.4763e-03
 1.6440e+00  9.0274e-03
 1.6445e+00  9.5805e-03
 1.6450e+00  1.0137e-02
 1.6455e+00  1.0696e-02
 1.6460e+00  1.1257e-02
 1.6465e+00  1.1820e-02
 1.6470e+00  1.2385e-02
 1.6475e+00  1.2952e-02
 1.6480e+00  1.3521e-02
 1.6485e+00  1.4093e-02
 1.6490e+00  1.4666e-02
 1.6495e+00  1.5241e-02
 1.6500e+00  1.5817e-02
 1.6505e+00  1.6396e-02
 1.6510e+00  1.6976e-02
 1.6515e+00  1.7557e-02
 1.6520e+00  1.8140e-02
 1.6525e+00  1.8726e-02
 1.6530e+00  1.9311e-02
 1.6535e+00  1.9898e-02
 1.6540e+00  2.0487e-02
 1.6545e+00  2.1076e-02
 1.6550e+00  2.1666e-02
 1.6555e+00  2.2258e-02
 1.6560e+00  2.2850e-02
 1.6565e+00  2.3443e-02
 1.6570e+00  2.4037e-02
 1.6575e+00  2.4631e-02
 1.6580e+00  2.5227e-02
 1.6585e+00  2.5823e-02
 1.6590e+00  2.6419e-02
 1.6595e+00  2.7017e-02
 1.6600e+00  2.7614e-02
 1.6605e+00  2.8212e-02
 1.6610e+00  2.8810e-02
 1.6615e+00  2.9408e-02
 1.6620e+00  3.0006e-02
 1.6625e+00  3.0604e-02
 1.6630e+00  3.1202e-02
 1.6635e+00  3.1801e-02
 1.6640e+00  3.2399e-02
 1.6645e+00  3.2997e-02
 1.6650e+00  3.3595e-02
 1.6655e+00  3.4192e-02
 1.6660e+00  3.4789e-02
 1.6665e+00  3.5386e-02
 1.6670e+00  3.5984e-02
 1.6675e+00  3.6580e-02
 1.6680e+00  3.7175e-02
 1.6685e+00  3.7770e-02
 1.6690e+00  3.8364e-02
 1.6695e+00  3.8957e-02
 1.6700e+00  3.9549e-02
 1.6705e+00  4.0141e-02
 1.6710e+00  4.0732e-02
 1.6715e+00  4.1322e-02
 1.6720e+00  4.1910e-02
 1.6725e+00  4.2498e-02
 1.6730e+00  4.3085e-02
 1.6735e+00  4.3670e-02
 1.6740e+00  4.4255e-02
 1.6745e+00  4.4838e-02
 1.6750e+00  4.5421e-02
 1.6755e+00  4.6001e-02
 1.6760e+00  4.6580e-02
 1.6765e+00  4.7157e-02
 1.6770e+00  4.7733e-02
 1.6775e+00  4.8308e-02
 1.6780e+00  4.8881e-02
 1.6785e+00  4.9452e-02
 1.6790e+00  5.0022e-02
 1.6795e+00  5.0589e-02
 1.6800e+00  5.1156e-02
 1.6805e+00  5.1720e-02
 1.6810e+00  5.2282e-02
 1.6815e+00  5.2842e-02
 1.6820e+00  5.3401e-02
 1.6825e+00  5.3958e-02
 1.6830e+00  5.4513e-02
 1.6835e+00  5.5065e-02
 1.6840e+00  5.5615e-02
 1.6845e+00  5.6163e-02
 1.6850e+00  5.6709e-02
 1.6855e+00  5.7253e-02
 1.6860e+00  5.7794e-02
 1.6865e+00  5.8333e-02
 1.6870e+00  5.8870e-02
 1.6875e+00  5.9404e-02
 1.6880e+00  5.9936e-02
 1.6885e+00  6.0465e-02
 1.6890e+00  6.0992e-02
 1.6895e+00  6.1516e-02
 1.6900e+00  6.2037e-02
 1.6905e+00  6.2557e-02
 1.6910e+00  6.3074e-02
 1.6915e+00  6.3587e-02
 1.6920e+00  6.4098e-02
 1.6925e+00  6.4606e-02
 1.6930e+00  6.5111e-02
 1.6935e+00  6.5614e-02
 1.6940e+00  6.6113e-02
 1.6945e+00  6.6610e-02
 1.6950e+00  6.7104e-02
 1.6955e+00  6.7595e-02
 1.6960e+00  6.8083e-02
 1.6965e+00  6.8568e-02
 1.6970e+00  6.9049e-02
 1.6975e+00  6.9528e-02
 1.6980e+00  7.0004e-02
 1.6985e+00  7.0476e-02
 1.6990e+00  7.0945e-02
 1.6995e+00  7.1411e-02
 1.7000e+00  7.1874e-02
 1.7005e+00  7.2334e-02
 1.7010e+00  7.2790e-02
 1.7015e+00  7.3243e-02
 1.7020e+00  7.3693e-02
 1.7025e+00  7.4139e-02
 1.7030e+00  7.4583e-02
 1.7035e+00  7.5023e-02
 1.7040e+00  7.5461e-02
 1.7045e+00  7.5895e-02
 1.7050e+00  7.6326e-02
 1.7055e+00  7.6754e-02
 1.7060e+00  7.7178e-02
 1.7065e+00  7.7600e-02
 1.7070e+00  7.8019e-02
 1.7075e+00  7.8435e-02
 1.7080e+00  7.8847e-02
 1.7085e+00  7.9257e-02
 1.7090e+00  7.9664e-02
 1.7095e+00  8.0068e-02
 1.7100e+00  8.0469e-02
 1.7105e+00  8.0867e-02
 1.7110e+00  8.1262e-02
 1.7115e+00  8.1654e-02
 1.7120e+00  8.2043e-02
 1.7125e+00  8.2430e-02
 1.7130e+00  8.2813e-02
 1.7135e+00  8.3194e-02
 1.7140e+00  8.3572e-02
 1.7145e+00  8.3947e-02
 1.7150e+00  8.4319e-02
 1.7155e+00  8.4689e-02
 1.7160e+00  8.5056e-02
 1.7165e+00  8.5420e-02
 1.7170e+00  8.5782e-02
 1.7175e+00  8.6140e-02
 1.7180e+00  8.6496e-02
 1.7185e+00  8.6850e-02
 1.7190e+00  8.7200e-02
 1.7195e+00  8.7549e-02
 1.7200e+00  8.7894e-02
 1.7205e+00  8.8237e-02
 1.7210e+00  8.8577e-02
 1.7215e+00  8.8915e-02
 1.7220e+00  8.9250e-02
 1.7225e+00  8.9582e-02
 1.7230e+00  8.9912e-02
 1.7235e+00  9.0240e-02
 1.7240e+00  9.0564e-02
 1.7245e+00  9.0887e-02
 1.7250e+00  9.1207e-02
 1.7255e+00  9.1524e-02
 1.7260e+00  9.1839e-02
 1.7265e+00  9.2152e-02
 1.7270e+00  9.2462e-02
 1.7275e+00  9.2769e-02
 1.7280e+00  9.3075e-02
 1.7285e+00  9.3378e-02
 1.7290e+00  9.3678e-02
 1.7295e+00  9.3976e-02
 1.7300e+00  9.4272e-02
 1.7305e+00  9.4565e-02
 1.7310e+00  9.4856e-02
 1.7315e+00  9.5145e-02
 1.7320e+00  9.5432e-02
 1.7325e+00  9.5716e-02
 1.7330e+00  9.5998e-02
 1.7335e+00  9.6277e-02
 1.7340e+00  9.6555e-02
 1.7345e+00  9.6830e-02
 1.7350e+00  9.7103e-02
 1.7355e+00  9.7373e-02
 1.7360e+00  9.7642e-02
 1.7365e+00  9.7908e-02
 1.7370e+00  9.8172e-02
 1.7375e+00  9.8434e-02
 1.7380e+00  9.8694e-02
 1.7385e+00  9.8951e-02
 1.7390e+00  9.9207e-02
 1.7395e+00  9.9460e-02
 1.7400e+00  9.9711e-02
 1.7405e+00  9.9960e-02
 1.7410e+00  1.0021e-01
 1.7415e+00  1.0045e-01
 1.7420e+00  1.0070e-01
 1.7425e+00  1.0094e-01
 1.7430e+00  1.0117e-01
 1.7435e+00  1.0141e-01
 1.7440e+00  1.0165e-01
 1.7445e+00  1.0188e-01
 1.7450e+00  1.0211e-01
 1.7455e+00  1.0234e-01
 1.7460e+00  1.0256e-01
 1.7465e+00  1.0279e-01
 1.7470e+00  1.0301e-01
 1.7475e+00  1.0323e-01
 1.7480e+00  1.0345e-01
 1.7485e+00  1.0367e-01
 1.7490e+00  1.0388e-01
 1.7495e+00  1.0410e-01
 1.7500e+00  1.0431e-01
 1.7505e+00  1.0452e-01
 1.7510e+00  1.0472e-01
 1.7515e+00  1.0493e-01
 1.7520e+00  1.0513e-01
 1.7525e+00  1.0533e-01
 1.7530e+00  1.0553e-01
 1.7535e+00  1.0573e-01
 1.7540e+00  1.0593e-01
 1.7545e+00  1.0612e-01
 1.7550e+00  1.0632e-01
 1.7555e+00  1.0651e-01
 1.7560e+00  1.0670e-01
 1.7565e+00  1.0688e-01
 1.7570e+00  1.0707e-01
 1.7575e+00  1.0725e-01
 1.7580e+00  1.0743e-01
 1.7585e+00  1.0761e-01
 1.7590e+00  1.0779e-01
 1.7595e+00  1.0797e-01
 1.7600e+00  1.0814e-01
 1.7605e+00  1.0832e-01
 1.7610e+00  1.0849e-01
 1.7615e+00  1.0866e-01
 1.7620e+00  1.0883e-01
 1.7625e+00  1.0899e-01
 1.7630e+00  1.0916e-01
 1.7635e+00  1.0932e-01
 1.7640e+00  1.0948e-01
 1.7645e+00  1.0964e-01
 1.7650e+00  1.0980e-01
 1.7655e+00  1.0996e-01
 1.7660e+00  1.1011e-01
 1.7665e+00  1.1026e-01
 1.7670e+00  1.1042e-01
 1.7675e+00  1.1057e-01
 1.7680e+00  1.1071e-01
 1.7685e+00  1.1086e-01
 1.7690e+00  1.1101e-01
 1.7695e+00  1.1115e-01
 1.7700e+00  1.1129e-01
 1.7705e+00  1.1143e-01
 1.7710e+00  1.1157e-01
 1.7715e+00  1.1171e-01
 1.7720e+00  1.1185e-01
 1.7725e+00  1.1198e-01
 1.7730e+00  1.1211e-01
 1.7735e+00  1.1224e-01
 1.7740e+00  1.1237e-01
 1.7745e+00  1.1250e-01
 1.7750e+00  1.1263e-01
 1.7755e+00  1.1275e-01
 1.7760e+00  1.1288e-01
 1.7765e+00  1.1300e-01
 1.7770e+00  1.1312e-01
 1.7775e+00  1.1324e-01
 1.7780e+00  1.1336e-01
 1.7785e+00  1.1348e-01
 1.7790e+00  1.1359e-01
 1.7795e+00  1.1370e-01
 1.7800e+00  1.1382e-01
 1.7805e+00  1.1393e-01
 1.7810e+00  1.1404e-01
 1.7815e+00  1.1414e-01
 1.7820e+00  1.1425e-01
 1.7825e+00  1.1436e-01
 1.7830e+00  1.1446e-01
 1.7835e+00  1.1456e-01
 1.7840e+00  1.1466e-01
 1.7845e+00  1.1476e-01
 1.7850e+00  1.1486e-01
 1.7855e+00  1.1496e-01
 1.7860e+00  1.1505e-01
 1.7865e+00  1.1515e-01
 1.7870e+00  1.1524e-01
 1.7875e+00  1.1533e-01
 1.7880e+00  1.1542e-01
 1.7885e+00  1.1551e-01
 1.7890e+00  1.1560e-01
 1.7895e+00  1.1568e-01
 1.7900e+00  1.1577e-01
 1.7905e+00  1.1585e-01
 1.7910e+00  1.1593e-01
 1.7915e+00  1.1601e-01
 1.7920e+00  1.1609e-01
 1.7925e+00  1.1617e-01
 1.7930e+00  1.1625e-01
 1.7935e+00  1.1632e-01
 1.7940e+00  1.1640e-01
 1.7945e+00  1.1647e-01
 1.7950e+00  1.1654e-01
 1.7955e+00  1.1661e-01
 1.7960e+00  1.1668e-01
 1.7965e+00  1.1675e-01
 1.7970e+00  1.1681e-01
 1.7975e+00  1.1688e-01
 1.7980e+00  1.1694e-01
 1.7985e+00  1.1701e-01
 1.7990e+00  1.1707e-01
 1.7995e+00  1.1713e-01
 1.8000e+00  1.1719e-01
 1.8005e+00  1.1724e-01
 1.8010e+00  1.1730e-01
 1.8015e+00  1.1736e-01
 1.8020e+00  1.1741e-01
 1.8025e+00  1.1746e-01
 1.8030e+00  1.1751e-01
 1.8035e+00  1.1757e-01
 1.8040e+00  1.1761e-01
 1.8045e+00  1.1766e-01
 1.8050e+00  1.1771e-01
 1.8055e+00  1.1776e-01
 1.8060e+00  1.1780e-01
 1.8065e+00  1.1785e-01
 1.8070e+00  1.1789e-01
 1.8075e+00  1.1793e-01
 1.8080e+00  1.1797e-01
 1.8085e+00  1.1801e-01
 1.8090e+00  1.1805e-01
 1.8095e+00  1.1809e-01
 1.8100e+00  1.1812e-01
 1.8105e+00  1.1816e-01
 1.8110e+00  1.1819e-01
 1.8115e+00  1.1823e-01
 1.8120e+00  1.1826e-01
 1.8125e+00  1.1829e-01
 1.8130e+00  1.1832e-01
 1.8135e+00  1.1835e-01
 1.8140e+00  1.1838e-01
 1.8145e+00  1.1841e-01
 1.8150e+00  1.1844e-01
 1.8155e+00  1.1847e-01
 1.8160e+00  1.1849e-01
