#     mass     R_mu^F
 1.7090e+00  0.0000e+00
 1.7095e+00  1.2658e-04
 1.7100e+00  1.4284e-03
 1.7105e+00  2.7476e-03
 1.7110e+00  4.0817e-03
 1.7115e+00  5.4327e-03
 1.7120e+00  6.7977e-03
 1.7125e+00  8.1788e-03
 1.7130e+00  9.5742e-03
 1.7135e+00  1.0984e-02
 1.7140e+00  1.2407e-02
 1.7145e+00  1.3846e-02
 1.7150e+00  1.5298e-02
 1.7155e+00  1.6762e-02
 1.7160e+00  1.8240e-02
 1.7165e+00  1.9731e-02
 1.7170e+00  2.1234e-02
 1.7175e+00  2.2749e-02
 1.7180e+00  2.4277e-02
 1.7185e+00  2.5815e-02
 1.7190e+00  2.7365e-02
 1.7195e+00  2.8926e-02
 1.7200e+00  3.0498e-02
 1.7205e+00  3.2080e-02
 1.7210e+00  3.3672e-02
 1.7215e+00  3.5274e-02
 1.7220e+00  3.6885e-02
 1.7225e+00  3.8505e-02
 1.7230e+00  4.0134e-02
 1.7235e+00  4.1772e-02
 1.7240e+00  4.3417e-02
 1.7245e+00  4.5072e-02
 1.7250e+00  4.6733e-02
 1.7255e+00  4.8401e-02
 1.7260e+00  5.0075e-02
 1.7265e+00  5.1757e-02
 1.7270e+00  5.3445e-02
 1.7275e+00  5.5139e-02
 1.7280e+00  5.6838e-02
 1.7285e+00  5.8542e-02
 1.7290e+00  6.0251e-02
 1.7295e+00  6.1964e-02
 1.7300e+00  6.3681e-02
 1.7305e+00  6.5403e-02
 1.7310e+00  6.7126e-02
 1.7315e+00  6.8854e-02
 1.7320e+00  7.0584e-02
 1.7325e+00  7.2317e-02
 1.7330e+00  7.4052e-02
 1.7335e+00  7.5787e-02
 1.7340e+00  7.7525e-02
 1.7345e+00  7.9263e-02
 1.7350e+00  8.1001e-02
 1.7355e+00  8.2740e-02
 1.7360e+00  8.4478e-02
 1.7365e+00  8.6216e-02
 1.7370e+00  8.7952e-02
 1.7375e+00  8.9687e-02
 1.7380e+00  9.1420e-02
 1.7385e+00  9.3151e-02
 1.7390e+00  9.4878e-02
 1.7395e+00  9.6602e-02
 1.7400e+00  9.8322e-02
 1.7405e+00  1.0004e-01
 1.7410e+00  1.0175e-01
 1.7415e+00  1.0345e-01
 1.7420e+00  1.0515e-01
 1.7425e+00  1.0683e-01
 1.7430e+00  1.0852e-01
 1.7435e+00  1.1019e-01
 1.7440e+00  1.1185e-01
 1.7445e+00  1.1350e-01
 1.7450e+00  1.1514e-01
 1.7455e+00  1.1677e-01
 1.7460e+00  1.1839e-01
 1.7465e+00  1.2000e-01
 1.7470e+00  1.2159e-01
 1.7475e+00  1.2317e-01
 1.7480e+00  1.2473e-01
 1.7485e+00  1.2628e-01
 1.7490e+00  1.2781e-01
 1.7495e+00  1.2933e-01
 1.7500e+00  1.3083e-01
 1.7505e+00  1.3231e-01
 1.7510e+00  1.3378e-01
 1.7515e+00  1.3522e-01
 1.7520e+00  1.3665e-01
 1.7525e+00  1.3806e-01
 1.7530e+00  1.3946e-01
 1.7535e+00  1.4084e-01
 1.7540e+00  1.4220e-01
 1.7545e+00  1.4354e-01
 1.7550e+00  1.4486e-01
 1.7555e+00  1.4617e-01
 1.7560e+00  1.4746e-01
 1.7565e+00  1.4874e-01
 1.7570e+00  1.5000e-01
 1.7575e+00  1.5124e-01
 1.7580e+00  1.5247e-01
 1.7585e+00  1.5368e-01
 1.7590e+00  1.5487e-01
 1.7595e+00  1.5605e-01
 1.7600e+00  1.5721e-01
 1.7605e+00  1.5835e-01
 1.7610e+00  1.5949e-01
 1.7615e+00  1.6060e-01
 1.7620e+00  1.6170e-01
 1.7625e+00  1.6278e-01
 1.7630e+00  1.6385e-01
 1.7635e+00  1.6490e-01
 1.7640e+00  1.6594e-01
 1.7645e+00  1.6697e-01
 1.7650e+00  1.6798e-01
 1.7655e+00  1.6897e-01
 1.7660e+00  1.6995e-01
 1.7665e+00  1.7092e-01
 1.7670e+00  1.7187e-01
 1.7675e+00  1.7281e-01
 1.7680e+00  1.7374e-01
 1.7685e+00  1.7465e-01
 1.7690e+00  1.7555e-01
 1.7695e+00  1.7644e-01
 1.7700e+00  1.7731e-01
 1.7705e+00  1.7817e-01
 1.7710e+00  1.7902e-01
 1.7715e+00  1.7985e-01
 1.7720e+00  1.8068e-01
 1.7725e+00  1.8149e-01
 1.7730e+00  1.8229e-01
 1.7735e+00  1.8308e-01
 1.7740e+00  1.8385e-01
 1.7745e+00  1.8462e-01
 1.7750e+00  1.8538e-01
 1.7755e+00  1.8612e-01
 1.7760e+00  1.8685e-01
 1.7765e+00  1.8758e-01
 1.7770e+00  1.8829e-01
 1.7775e+00  1.8900e-01
 1.7780e+00  1.8969e-01
 1.7785e+00  1.9037e-01
 1.7790e+00  1.9105e-01
 1.7795e+00  1.9172e-01
 1.7800e+00  1.9237e-01
 1.7805e+00  1.9302e-01
 1.7810e+00  1.9366e-01
 1.7815e+00  1.9429e-01
 1.7820e+00  1.9492e-01
 1.7825e+00  1.9554e-01
 1.7830e+00  1.9615e-01
 1.7835e+00  1.9675e-01
 1.7840e+00  1.9734e-01
 1.7845e+00  1.9793e-01
 1.7850e+00  1.9851e-01
 1.7855e+00  1.9909e-01
 1.7860e+00  1.9966e-01
 1.7865e+00  2.0022e-01
 1.7870e+00  2.0078e-01
 1.7875e+00  2.0133e-01
 1.7880e+00  2.0188e-01
 1.7885e+00  2.0242e-01
 1.7890e+00  2.0296e-01
 1.7895e+00  2.0349e-01
 1.7900e+00  2.0402e-01
 1.7905e+00  2.0455e-01
 1.7910e+00  2.0507e-01
 1.7915e+00  2.0559e-01
 1.7920e+00  2.0611e-01
 1.7925e+00  2.0663e-01
 1.7930e+00  2.0714e-01
 1.7935e+00  2.0765e-01
 1.7940e+00  2.0816e-01
 1.7945e+00  2.0867e-01
 1.7950e+00  2.0918e-01
 1.7955e+00  2.0969e-01
 1.7960e+00  2.1020e-01
 1.7965e+00  2.1071e-01
 1.7970e+00  2.1122e-01
 1.7975e+00  2.1173e-01
 1.7980e+00  2.1225e-01
 1.7985e+00  2.1276e-01
 1.7990e+00  2.1328e-01
 1.7995e+00  2.1380e-01
 1.8000e+00  2.1432e-01
 1.8005e+00  2.1485e-01
 1.8010e+00  2.1537e-01
 1.8015e+00  2.1590e-01
 1.8020e+00  2.1644e-01
 1.8025e+00  2.1697e-01
 1.8030e+00  2.1751e-01
 1.8035e+00  2.1805e-01
 1.8040e+00  2.1859e-01
 1.8045e+00  2.1914e-01
 1.8050e+00  2.1969e-01
 1.8055e+00  2.2024e-01
 1.8060e+00  2.2079e-01
 1.8065e+00  2.2134e-01
 1.8070e+00  2.2189e-01
 1.8075e+00  2.2245e-01
 1.8080e+00  2.2300e-01
 1.8085e+00  2.2356e-01
 1.8090e+00  2.2412e-01
 1.8095e+00  2.2468e-01
 1.8100e+00  2.2524e-01
 1.8105e+00  2.2580e-01
 1.8110e+00  2.2636e-01
 1.8115e+00  2.2692e-01
 1.8120e+00  2.2749e-01
 1.8125e+00  2.2805e-01
 1.8130e+00  2.2861e-01
 1.8135e+00  2.2917e-01
 1.8140e+00  2.2974e-01
 1.8145e+00  2.3030e-01
