#     mass     R_mu^F
 1.4800e+00  0.0000e+00
 1.4805e+00  3.9781e-02
 1.4810e+00  4.6595e-02
 1.4815e+00  5.3357e-02
 1.4820e+00  6.0093e-02
 1.4825e+00  6.6790e-02
 1.4830e+00  7.3438e-02
 1.4835e+00  8.0039e-02
 1.4840e+00  8.6581e-02
 1.4845e+00  9.3083e-02
 1.4850e+00  9.9510e-02
 1.4855e+00  1.0588e-01
 1.4860e+00  1.1218e-01
 1.4865e+00  1.1843e-01
 1.4870e+00  1.2459e-01
 1.4875e+00  1.3069e-01
 1.4880e+00  1.3671e-01
 1.4885e+00  1.4263e-01
 1.4890e+00  1.4847e-01
 1.4895e+00  1.5423e-01
 1.4900e+00  1.5988e-01
 1.4905e+00  1.6546e-01
 1.4910e+00  1.7092e-01
 1.4915e+00  1.7629e-01
 1.4920e+00  1.8155e-01
 1.4925e+00  1.8669e-01
 1.4930e+00  1.9173e-01
 1.4935e+00  1.9665e-01
 1.4940e+00  2.0146e-01
 1.4945e+00  2.0614e-01
 1.4950e+00  2.1068e-01
 1.4955e+00  2.1511e-01
 1.4960e+00  2.1939e-01
 1.4965e+00  2.2354e-01
 1.4970e+00  2.2755e-01
 1.4975e+00  2.3142e-01
 1.4980e+00  2.3514e-01
 1.4985e+00  2.3870e-01
 1.4990e+00  2.4212e-01
 1.4995e+00  2.4537e-01
 1.5000e+00  2.4847e-01
 1.5005e+00  2.5150e-01
 1.5010e+00  2.5437e-01
 1.5015e+00  2.5707e-01
 1.5020e+00  2.5963e-01
 1.5025e+00  2.6202e-01
 1.5030e+00  2.6426e-01
 1.5035e+00  2.6635e-01
 1.5040e+00  2.6830e-01
 1.5045e+00  2.7010e-01
 1.5050e+00  2.7175e-01
 1.5055e+00  2.7325e-01
 1.5060e+00  2.7464e-01
 1.5065e+00  2.7588e-01
 1.5070e+00  2.7699e-01
 1.5075e+00  2.7796e-01
 1.5080e+00  2.7880e-01
 1.5085e+00  2.7951e-01
 1.5090e+00  2.8011e-01
 1.5095e+00  2.8058e-01
 1.5100e+00  2.8092e-01
 1.5105e+00  2.8116e-01
 1.5110e+00  2.8127e-01
 1.5115e+00  2.8127e-01
 1.5120e+00  2.8116e-01
 1.5125e+00  2.8093e-01
 1.5130e+00  2.8061e-01
 1.5135e+00  2.8017e-01
 1.5140e+00  2.7964e-01
 1.5145e+00  2.7901e-01
 1.5150e+00  2.7828e-01
 1.5155e+00  2.7745e-01
 1.5160e+00  2.7653e-01
 1.5165e+00  2.7552e-01
 1.5170e+00  2.7442e-01
 1.5175e+00  2.7324e-01
 1.5180e+00  2.7197e-01
 1.5185e+00  2.7061e-01
 1.5190e+00  2.6919e-01
 1.5195e+00  2.6767e-01
 1.5200e+00  2.6609e-01
 1.5205e+00  2.6444e-01
 1.5210e+00  2.6271e-01
 1.5215e+00  2.6092e-01
 1.5220e+00  2.5906e-01
 1.5225e+00  2.5715e-01
 1.5230e+00  2.5517e-01
 1.5235e+00  2.5312e-01
 1.5240e+00  2.5103e-01
 1.5245e+00  2.4888e-01
 1.5250e+00  2.4667e-01
 1.5255e+00  2.4442e-01
 1.5260e+00  2.4213e-01
 1.5265e+00  2.3978e-01
 1.5270e+00  2.3740e-01
 1.5275e+00  2.3498e-01
 1.5280e+00  2.3251e-01
 1.5285e+00  2.3001e-01
 1.5290e+00  2.2748e-01
 1.5295e+00  2.2492e-01
 1.5300e+00  2.2232e-01
 1.5305e+00  2.1971e-01
 1.5310e+00  2.1706e-01
 1.5315e+00  2.1441e-01
 1.5320e+00  2.1172e-01
 1.5325e+00  2.0902e-01
 1.5330e+00  2.0632e-01
 1.5335e+00  2.0359e-01
 1.5340e+00  2.0085e-01
 1.5345e+00  1.9810e-01
 1.5350e+00  1.9536e-01
 1.5355e+00  1.9261e-01
 1.5360e+00  1.8985e-01
 1.5365e+00  1.8710e-01
 1.5370e+00  1.8436e-01
 1.5375e+00  1.8162e-01
 1.5380e+00  1.7889e-01
 1.5385e+00  1.7617e-01
 1.5390e+00  1.7346e-01
 1.5395e+00  1.7077e-01
 1.5400e+00  1.6809e-01
 1.5405e+00  1.6544e-01
 1.5410e+00  1.6282e-01
 1.5415e+00  1.6021e-01
 1.5420e+00  1.5763e-01
 1.5425e+00  1.5509e-01
 1.5430e+00  1.5256e-01
 1.5435e+00  1.5009e-01
 1.5440e+00  1.4765e-01
 1.5445e+00  1.4524e-01
 1.5450e+00  1.4288e-01
 1.5455e+00  1.4055e-01
 1.5460e+00  1.3827e-01
 1.5465e+00  1.3605e-01
 1.5470e+00  1.3388e-01
 1.5475e+00  1.3176e-01
 1.5480e+00  1.2970e-01
 1.5485e+00  1.2769e-01
 1.5490e+00  1.2575e-01
 1.5495e+00  1.2386e-01
 1.5500e+00  1.2204e-01
 1.5505e+00  1.2029e-01
 1.5510e+00  1.1861e-01
 1.5515e+00  1.1698e-01
 1.5520e+00  1.1544e-01
 1.5525e+00  1.1395e-01
 1.5530e+00  1.1253e-01
 1.5535e+00  1.1118e-01
 1.5540e+00  1.0989e-01
 1.5545e+00  1.0867e-01
 1.5550e+00  1.0750e-01
 1.5555e+00  1.0642e-01
 1.5560e+00  1.0538e-01
 1.5565e+00  1.0441e-01
 1.5570e+00  1.0350e-01
 1.5575e+00  1.0267e-01
 1.5580e+00  1.0189e-01
 1.5585e+00  1.0118e-01
 1.5590e+00  1.0052e-01
 1.5595e+00  9.9919e-02
 1.5600e+00  9.9389e-02
 1.5605e+00  9.8916e-02
 1.5610e+00  9.8509e-02
 1.5615e+00  9.8159e-02
 1.5620e+00  9.7866e-02
 1.5625e+00  9.7628e-02
 1.5630e+00  9.7467e-02
 1.5635e+00  9.7353e-02
 1.5640e+00  9.7304e-02
 1.5645e+00  9.7302e-02
 1.5650e+00  9.7365e-02
 1.5655e+00  9.7475e-02
 1.5660e+00  9.7660e-02
 1.5665e+00  9.7891e-02
 1.5670e+00  9.8188e-02
 1.5675e+00  9.8529e-02
 1.5680e+00  9.8928e-02
 1.5685e+00  9.9391e-02
 1.5690e+00  9.9899e-02
 1.5695e+00  1.0047e-01
 1.5700e+00  1.0110e-01
 1.5705e+00  1.0178e-01
 1.5710e+00  1.0251e-01
 1.5715e+00  1.0330e-01
 1.5720e+00  1.0413e-01
 1.5725e+00  1.0502e-01
 1.5730e+00  1.0597e-01
 1.5735e+00  1.0696e-01
 1.5740e+00  1.0801e-01
 1.5745e+00  1.0911e-01
 1.5750e+00  1.1027e-01
 1.5755e+00  1.1148e-01
 1.5760e+00  1.1272e-01
 1.5765e+00  1.1403e-01
 1.5770e+00  1.1538e-01
 1.5775e+00  1.1679e-01
 1.5780e+00  1.1825e-01
 1.5785e+00  1.1975e-01
 1.5790e+00  1.2130e-01
 1.5795e+00  1.2290e-01
 1.5800e+00  1.2454e-01
 1.5805e+00  1.2624e-01
 1.5810e+00  1.2798e-01
 1.5815e+00  1.2978e-01
 1.5820e+00  1.3162e-01
 1.5825e+00  1.3350e-01
 1.5830e+00  1.3544e-01
 1.5835e+00  1.3741e-01
 1.5840e+00  1.3944e-01
 1.5845e+00  1.4150e-01
 1.5850e+00  1.4362e-01
 1.5855e+00  1.4577e-01
