#     mass     R_mu^F
 8.0000e-01  0.0000e+00
 8.0050e-01  2.0321e-05
 8.0100e-01  4.0470e-05
 8.0150e-01  6.0451e-05
 8.0200e-01  8.0263e-05
 8.0250e-01  9.9909e-05
 8.0300e-01  1.1939e-04
 8.0350e-01  1.3871e-04
 8.0400e-01  1.5787e-04
 8.0450e-01  1.7687e-04
 8.0500e-01  1.9571e-04
 8.0550e-01  2.1439e-04
 8.0600e-01  2.3292e-04
 8.0650e-01  2.5129e-04
 8.0700e-01  2.6952e-04
 8.0750e-01  2.8759e-04
 8.0800e-01  3.0552e-04
 8.0850e-01  3.2330e-04
 8.0900e-01  3.4094e-04
 8.0950e-01  3.5843e-04
 8.1000e-01  3.7578e-04
 8.1050e-01  3.9299e-04
 8.1100e-01  4.1007e-04
 8.1150e-01  4.2700e-04
 8.1200e-01  4.4381e-04
 8.1250e-01  4.6048e-04
 8.1300e-01  4.7702e-04
 8.1350e-01  4.9342e-04
 8.1400e-01  5.0970e-04
 8.1450e-01  5.2586e-04
 8.1500e-01  5.4189e-04
 8.1550e-01  5.5779e-04
 8.1600e-01  5.7358e-04
 8.1650e-01  5.8924e-04
 8.1700e-01  6.0479e-04
 8.1750e-01  6.2021e-04
 8.1800e-01  6.3553e-04
 8.1850e-01  6.5073e-04
 8.1900e-01  6.6582e-04
 8.1950e-01  6.8080e-04
 8.2000e-01  6.9567e-04
 8.2050e-01  7.1044e-04
 8.2100e-01  7.2510e-04
 8.2150e-01  7.3965e-04
 8.2200e-01  7.5411e-04
 8.2250e-01  7.6846e-04
 8.2300e-01  7.8272e-04
 8.2350e-01  7.9688e-04
 8.2400e-01  8.1095e-04
 8.2450e-01  8.2492e-04
 8.2500e-01  8.3880e-04
 8.2550e-01  8.5259e-04
 8.2600e-01  8.6629e-04
 8.2650e-01  8.7991e-04
 8.2700e-01  8.9344e-04
 8.2750e-01  9.0689e-04
 8.2800e-01  9.2026e-04
 8.2850e-01  9.3354e-04
 8.2900e-01  9.4675e-04
 8.2950e-01  9.5988e-04
 8.3000e-01  9.7294e-04
 8.3050e-01  9.8592e-04
 8.3100e-01  9.9883e-04
 8.3150e-01  1.0117e-03
 8.3200e-01  1.0245e-03
 8.3250e-01  1.0372e-03
 8.3300e-01  1.0498e-03
 8.3350e-01  1.0624e-03
 8.3400e-01  1.0749e-03
 8.3450e-01  1.0873e-03
 8.3500e-01  1.0998e-03
 8.3550e-01  1.1121e-03
 8.3600e-01  1.1244e-03
 8.3650e-01  1.1366e-03
 8.3700e-01  1.1488e-03
 8.3750e-01  1.1609e-03
 8.3800e-01  1.1730e-03
 8.3850e-01  1.1851e-03
 8.3900e-01  1.1971e-03
 8.3950e-01  1.2090e-03
 8.4000e-01  1.2209e-03
 8.4050e-01  1.2328e-03
 8.4100e-01  1.2446e-03
 8.4150e-01  1.2564e-03
 8.4200e-01  1.2682e-03
 8.4250e-01  1.2799e-03
 8.4300e-01  1.2916e-03
 8.4350e-01  1.3033e-03
 8.4400e-01  1.3149e-03
 8.4450e-01  1.3265e-03
 8.4500e-01  1.3381e-03
 8.4550e-01  1.3497e-03
 8.4600e-01  1.3612e-03
 8.4650e-01  1.3727e-03
 8.4700e-01  1.3842e-03
 8.4750e-01  1.3957e-03
 8.4800e-01  1.4072e-03
 8.4850e-01  1.4187e-03
 8.4900e-01  1.4301e-03
 8.4950e-01  1.4415e-03
 8.5000e-01  1.4530e-03
 8.5050e-01  1.4644e-03
 8.5100e-01  1.4758e-03
 8.5150e-01  1.4872e-03
