#     mass     R_mu^F
 4.1950e-01  0.0000e+00
 4.2000e-01  3.9588e-22
 4.2050e-01  4.2926e-09
 4.2100e-01  1.0047e-08
 4.2150e-01  1.7279e-08
 4.2200e-01  2.6006e-08
 4.2250e-01  3.6243e-08
 4.2300e-01  4.8008e-08
 4.2350e-01  6.1318e-08
 4.2400e-01  7.6189e-08
 4.2450e-01  9.2640e-08
 4.2500e-01  1.1069e-07
 4.2550e-01  1.3035e-07
 4.2600e-01  1.5164e-07
 4.2650e-01  1.7459e-07
 4.2700e-01  1.9920e-07
 4.2750e-01  2.2550e-07
 4.2800e-01  2.5351e-07
 4.2850e-01  2.8324e-07
 4.2900e-01  3.1472e-07
 4.2950e-01  3.4796e-07
 4.3000e-01  3.8298e-07
 4.3050e-01  4.1980e-07
 4.3100e-01  4.5845e-07
 4.3150e-01  4.9895e-07
 4.3200e-01  5.4131e-07
 4.3250e-01  5.8555e-07
 4.3300e-01  6.3170e-07
 4.3350e-01  6.7977e-07
 4.3400e-01  7.2980e-07
 4.3450e-01  7.8180e-07
 4.3500e-01  8.3579e-07
 4.3550e-01  8.9179e-07
 4.3600e-01  9.4983e-07
 4.3650e-01  1.0099e-06
 4.3700e-01  1.0721e-06
 4.3750e-01  1.1364e-06
 4.3800e-01  1.2028e-06
 4.3850e-01  1.2714e-06
 4.3900e-01  1.3422e-06
 4.3950e-01  1.4151e-06
 4.4000e-01  1.4903e-06
 4.4050e-01  1.5678e-06
 4.4100e-01  1.6475e-06
 4.4150e-01  1.7295e-06
 4.4200e-01  1.8139e-06
 4.4250e-01  1.9006e-06
 4.4300e-01  1.9897e-06
 4.4350e-01  2.0811e-06
 4.4400e-01  2.1751e-06
 4.4450e-01  2.2715e-06
 4.4500e-01  2.3704e-06
 4.4550e-01  2.4718e-06
 4.4600e-01  2.5757e-06
 4.4650e-01  2.6823e-06
 4.4700e-01  2.7914e-06
 4.4750e-01  2.9032e-06
 4.4800e-01  3.0176e-06
 4.4850e-01  3.1347e-06
 4.4900e-01  3.2546e-06
 4.4950e-01  3.3772e-06
 4.5000e-01  3.5026e-06
 4.5050e-01  3.6309e-06
 4.5100e-01  3.7619e-06
 4.5150e-01  3.8959e-06
 4.5200e-01  4.0327e-06
 4.5250e-01  4.1726e-06
 4.5300e-01  4.3154e-06
 4.5350e-01  4.4612e-06
 4.5400e-01  4.6101e-06
 4.5450e-01  4.7620e-06
 4.5500e-01  4.9171e-06
 4.5550e-01  5.0753e-06
 4.5600e-01  5.2368e-06
 4.5650e-01  5.4014e-06
 4.5700e-01  5.5693e-06
 4.5750e-01  5.7406e-06
 4.5800e-01  5.9151e-06
 4.5850e-01  6.0931e-06
 4.5900e-01  6.2744e-06
 4.5950e-01  6.4592e-06
 4.6000e-01  6.6475e-06
 4.6050e-01  6.8394e-06
 4.6100e-01  7.0348e-06
 4.6150e-01  7.2338e-06
 4.6200e-01  7.4365e-06
 4.6250e-01  7.6429e-06
 4.6300e-01  7.8530e-06
 4.6350e-01  8.0669e-06
 4.6400e-01  8.2847e-06
 4.6450e-01  8.5063e-06
 4.6500e-01  8.7318e-06
 4.6550e-01  8.9613e-06
 4.6600e-01  9.1948e-06
 4.6650e-01  9.4323e-06
 4.6700e-01  9.6740e-06
 4.6750e-01  9.9197e-06
 4.6800e-01  1.0170e-05
 4.6850e-01  1.0424e-05
 4.6900e-01  1.0682e-05
 4.6950e-01  1.0945e-05
 4.7000e-01  1.1213e-05
 4.7050e-01  1.1484e-05
 4.7100e-01  1.1760e-05
 4.7150e-01  1.2041e-05
 4.7200e-01  1.2326e-05
 4.7250e-01  1.2616e-05
 4.7300e-01  1.2911e-05
 4.7350e-01  1.3211e-05
 4.7400e-01  1.3515e-05
 4.7450e-01  1.3824e-05
 4.7500e-01  1.4138e-05
 4.7550e-01  1.4457e-05
 4.7600e-01  1.4781e-05
 4.7650e-01  1.5110e-05
 4.7700e-01  1.5444e-05
 4.7750e-01  1.5784e-05
 4.7800e-01  1.6129e-05
 4.7850e-01  1.6479e-05
 4.7900e-01  1.6834e-05
 4.7950e-01  1.7195e-05
 4.8000e-01  1.7562e-05
 4.8050e-01  1.7934e-05
 4.8100e-01  1.8311e-05
 4.8150e-01  1.8695e-05
 4.8200e-01  1.9084e-05
 4.8250e-01  1.9479e-05
 4.8300e-01  1.9880e-05
 4.8350e-01  2.0287e-05
 4.8400e-01  2.0700e-05
 4.8450e-01  2.1119e-05
 4.8500e-01  2.1545e-05
 4.8550e-01  2.1976e-05
 4.8600e-01  2.2415e-05
 4.8650e-01  2.2859e-05
 4.8700e-01  2.3310e-05
 4.8750e-01  2.3767e-05
 4.8800e-01  2.4232e-05
 4.8850e-01  2.4702e-05
 4.8900e-01  2.5180e-05
 4.8950e-01  2.5665e-05
 4.9000e-01  2.6156e-05
 4.9050e-01  2.6655e-05
 4.9100e-01  2.7160e-05
 4.9150e-01  2.7673e-05
 4.9200e-01  2.8194e-05
 4.9250e-01  2.8721e-05
 4.9300e-01  2.9256e-05
 4.9350e-01  2.9799e-05
 4.9400e-01  3.0349e-05
 4.9450e-01  3.0907e-05
 4.9500e-01  3.1473e-05
 4.9550e-01  3.2047e-05
 4.9600e-01  3.2629e-05
 4.9650e-01  3.3219e-05
 4.9700e-01  3.3817e-05
 4.9750e-01  3.4423e-05
 4.9800e-01  3.5038e-05
 4.9850e-01  3.5661e-05
 4.9900e-01  3.6293e-05
 4.9950e-01  3.6934e-05
 5.0000e-01  3.7583e-05
 5.0050e-01  3.8241e-05
 5.0100e-01  3.8909e-05
 5.0150e-01  3.9585e-05
 5.0200e-01  4.0271e-05
 5.0250e-01  4.0966e-05
 5.0300e-01  4.1670e-05
 5.0350e-01  4.2384e-05
 5.0400e-01  4.3108e-05
 5.0450e-01  4.3841e-05
 5.0500e-01  4.4584e-05
 5.0550e-01  4.5338e-05
 5.0600e-01  4.6101e-05
 5.0650e-01  4.6875e-05
 5.0700e-01  4.7659e-05
 5.0750e-01  4.8454e-05
 5.0800e-01  4.9259e-05
 5.0850e-01  5.0075e-05
 5.0900e-01  5.0902e-05
 5.0950e-01  5.1740e-05
 5.1000e-01  5.2589e-05
 5.1050e-01  5.3449e-05
 5.1100e-01  5.4321e-05
 5.1150e-01  5.5204e-05
 5.1200e-01  5.6099e-05
 5.1250e-01  5.7006e-05
 5.1300e-01  5.7925e-05
 5.1350e-01  5.8856e-05
 5.1400e-01  5.9799e-05
 5.1450e-01  6.0755e-05
 5.1500e-01  6.1723e-05
 5.1550e-01  6.2704e-05
 5.1600e-01  6.3697e-05
 5.1650e-01  6.4704e-05
 5.1700e-01  6.5724e-05
 5.1750e-01  6.6757e-05
 5.1800e-01  6.7804e-05
 5.1850e-01  6.8864e-05
 5.1900e-01  6.9938e-05
 5.1950e-01  7.1027e-05
 5.2000e-01  7.2129e-05
 5.2050e-01  7.3245e-05
 5.2100e-01  7.4377e-05
 5.2150e-01  7.5522e-05
 5.2200e-01  7.6683e-05
 5.2250e-01  7.7859e-05
 5.2300e-01  7.9050e-05
 5.2350e-01  8.0256e-05
 5.2400e-01  8.1478e-05
 5.2450e-01  8.2715e-05
 5.2500e-01  8.3969e-05
 5.2550e-01  8.5239e-05
 5.2600e-01  8.6525e-05
 5.2650e-01  8.7827e-05
 5.2700e-01  8.9147e-05
 5.2750e-01  9.0483e-05
 5.2800e-01  9.1837e-05
 5.2850e-01  9.3208e-05
 5.2900e-01  9.4596e-05
 5.2950e-01  9.6002e-05
 5.3000e-01  9.7427e-05
 5.3050e-01  9.8869e-05
 5.3100e-01  1.0033e-04
 5.3150e-01  1.0181e-04
 5.3200e-01  1.0331e-04
 5.3250e-01  1.0483e-04
 5.3300e-01  1.0636e-04
 5.3350e-01  1.0792e-04
 5.3400e-01  1.0950e-04
 5.3450e-01  1.1109e-04
 5.3500e-01  1.1271e-04
 5.3550e-01  1.1435e-04
 5.3600e-01  1.1601e-04
 5.3650e-01  1.1769e-04
 5.3700e-01  1.1939e-04
 5.3750e-01  1.2111e-04
 5.3800e-01  1.2286e-04
 5.3850e-01  1.2462e-04
 5.3900e-01  1.2641e-04
 5.3950e-01  1.2822e-04
 5.4000e-01  1.3006e-04
 5.4050e-01  1.3192e-04
 5.4100e-01  1.3380e-04
 5.4150e-01  1.3570e-04
 5.4200e-01  1.3763e-04
 5.4250e-01  1.3959e-04
 5.4300e-01  1.4157e-04
 5.4350e-01  1.4357e-04
 5.4400e-01  1.4560e-04
 5.4450e-01  1.4766e-04
 5.4500e-01  1.4974e-04
 5.4550e-01  1.5185e-04
 5.4600e-01  1.5398e-04
 5.4650e-01  1.5614e-04
 5.4700e-01  1.5833e-04
 5.4750e-01  1.6055e-04
 5.4800e-01  1.6279e-04
 5.4850e-01  1.6507e-04
 5.4900e-01  1.6737e-04
 5.4950e-01  1.6970e-04
 5.5000e-01  1.7206e-04
 5.5050e-01  1.7445e-04
 5.5100e-01  1.7687e-04
 5.5150e-01  1.7932e-04
 5.5200e-01  1.8181e-04
 5.5250e-01  1.8432e-04
 5.5300e-01  1.8687e-04
 5.5350e-01  1.8944e-04
 5.5400e-01  1.9205e-04
 5.5450e-01  1.9470e-04
 5.5500e-01  1.9738e-04
 5.5550e-01  2.0009e-04
 5.5600e-01  2.0283e-04
 5.5650e-01  2.0561e-04
 5.5700e-01  2.0843e-04
 5.5750e-01  2.1128e-04
 5.5800e-01  2.1416e-04
 5.5850e-01  2.1709e-04
 5.5900e-01  2.2005e-04
 5.5950e-01  2.2305e-04
 5.6000e-01  2.2608e-04
 5.6050e-01  2.2916e-04
 5.6100e-01  2.3227e-04
 5.6150e-01  2.3543e-04
 5.6200e-01  2.3862e-04
 5.6250e-01  2.4185e-04
 5.6300e-01  2.4513e-04
 5.6350e-01  2.4844e-04
 5.6400e-01  2.5180e-04
 5.6450e-01  2.5520e-04
 5.6500e-01  2.5865e-04
 5.6550e-01  2.6214e-04
 5.6600e-01  2.6567e-04
 5.6650e-01  2.6925e-04
 5.6700e-01  2.7287e-04
 5.6750e-01  2.7654e-04
 5.6800e-01  2.8026e-04
 5.6850e-01  2.8402e-04
 5.6900e-01  2.8783e-04
 5.6950e-01  2.9169e-04
 5.7000e-01  2.9560e-04
 5.7050e-01  2.9956e-04
 5.7100e-01  3.0357e-04
 5.7150e-01  3.0763e-04
 5.7200e-01  3.1174e-04
 5.7250e-01  3.1590e-04
 5.7300e-01  3.2012e-04
 5.7350e-01  3.2439e-04
 5.7400e-01  3.2872e-04
 5.7450e-01  3.3310e-04
 5.7500e-01  3.3754e-04
 5.7550e-01  3.4203e-04
 5.7600e-01  3.4659e-04
 5.7650e-01  3.5120e-04
 5.7700e-01  3.5587e-04
 5.7750e-01  3.6060e-04
 5.7800e-01  3.6539e-04
 5.7850e-01  3.7024e-04
 5.7900e-01  3.7516e-04
 5.7950e-01  3.8013e-04
 5.8000e-01  3.8517e-04
 5.8050e-01  3.9028e-04
 5.8100e-01  3.9545e-04
 5.8150e-01  4.0069e-04
 5.8200e-01  4.0600e-04
 5.8250e-01  4.1138e-04
 5.8300e-01  4.1682e-04
 5.8350e-01  4.2234e-04
 5.8400e-01  4.2792e-04
 5.8450e-01  4.3358e-04
 5.8500e-01  4.3931e-04
 5.8550e-01  4.4512e-04
 5.8600e-01  4.5100e-04
 5.8650e-01  4.5696e-04
 5.8700e-01  4.6300e-04
 5.8750e-01  4.6911e-04
 5.8800e-01  4.7530e-04
 5.8850e-01  4.8158e-04
 5.8900e-01  4.8793e-04
 5.8950e-01  4.9437e-04
 5.9000e-01  5.0090e-04
 5.9050e-01  5.0750e-04
 5.9100e-01  5.1420e-04
 5.9150e-01  5.2098e-04
 5.9200e-01  5.2785e-04
 5.9250e-01  5.3481e-04
 5.9300e-01  5.4186e-04
 5.9350e-01  5.4901e-04
 5.9400e-01  5.5625e-04
 5.9450e-01  5.6358e-04
 5.9500e-01  5.7101e-04
 5.9550e-01  5.7854e-04
 5.9600e-01  5.8617e-04
 5.9650e-01  5.9389e-04
 5.9700e-01  6.0172e-04
 5.9750e-01  6.0966e-04
 5.9800e-01  6.1770e-04
 5.9850e-01  6.2584e-04
 5.9900e-01  6.3409e-04
 5.9950e-01  6.4245e-04
 6.0000e-01  6.5093e-04
 6.0050e-01  6.5951e-04
 6.0100e-01  6.6821e-04
 6.0150e-01  6.7703e-04
 6.0200e-01  6.8596e-04
 6.0250e-01  6.9501e-04
 6.0300e-01  7.0419e-04
 6.0350e-01  7.1349e-04
 6.0400e-01  7.2291e-04
 6.0450e-01  7.3245e-04
 6.0500e-01  7.4213e-04
 6.0550e-01  7.5193e-04
 6.0600e-01  7.6187e-04
 6.0650e-01  7.7194e-04
 6.0700e-01  7.8215e-04
 6.0750e-01  7.9249e-04
 6.0800e-01  8.0298e-04
 6.0850e-01  8.1360e-04
 6.0900e-01  8.2437e-04
 6.0950e-01  8.3529e-04
 6.1000e-01  8.4635e-04
 6.1050e-01  8.5757e-04
 6.1100e-01  8.6893e-04
 6.1150e-01  8.8046e-04
 6.1200e-01  8.9213e-04
 6.1250e-01  9.0397e-04
 6.1300e-01  9.1597e-04
 6.1350e-01  9.2814e-04
 6.1400e-01  9.4047e-04
 6.1450e-01  9.5297e-04
 6.1500e-01  9.6564e-04
 6.1550e-01  9.7849e-04
 6.1600e-01  9.9151e-04
 6.1650e-01  1.0047e-03
 6.1700e-01  1.0181e-03
 6.1750e-01  1.0317e-03
 6.1800e-01  1.0454e-03
 6.1850e-01  1.0594e-03
 6.1900e-01  1.0735e-03
 6.1950e-01  1.0879e-03
 6.2000e-01  1.1024e-03
 6.2050e-01  1.1171e-03
 6.2100e-01  1.1321e-03
 6.2150e-01  1.1473e-03
 6.2200e-01  1.1626e-03
 6.2250e-01  1.1782e-03
 6.2300e-01  1.1940e-03
 6.2350e-01  1.2101e-03
 6.2400e-01  1.2263e-03
 6.2450e-01  1.2428e-03
 6.2500e-01  1.2595e-03
 6.2550e-01  1.2765e-03
 6.2600e-01  1.2937e-03
 6.2650e-01  1.3111e-03
 6.2700e-01  1.3288e-03
 6.2750e-01  1.3467e-03
 6.2800e-01  1.3649e-03
 6.2850e-01  1.3834e-03
 6.2900e-01  1.4021e-03
 6.2950e-01  1.4211e-03
 6.3000e-01  1.4403e-03
 6.3050e-01  1.4599e-03
 6.3100e-01  1.4797e-03
 6.3150e-01  1.4998e-03
 6.3200e-01  1.5202e-03
 6.3250e-01  1.5409e-03
 6.3300e-01  1.5619e-03
 6.3350e-01  1.5832e-03
 6.3400e-01  1.6048e-03
 6.3450e-01  1.6267e-03
 6.3500e-01  1.6490e-03
 6.3550e-01  1.6716e-03
 6.3600e-01  1.6945e-03
 6.3650e-01  1.7177e-03
 6.3700e-01  1.7413e-03
 6.3750e-01  1.7652e-03
 6.3800e-01  1.7895e-03
 6.3850e-01  1.8141e-03
 6.3900e-01  1.8391e-03
 6.3950e-01  1.8645e-03
 6.4000e-01  1.8903e-03
 6.4050e-01  1.9164e-03
 6.4100e-01  1.9430e-03
 6.4150e-01  1.9699e-03
 6.4200e-01  1.9972e-03
 6.4250e-01  2.0250e-03
 6.4300e-01  2.0532e-03
 6.4350e-01  2.0818e-03
 6.4400e-01  2.1108e-03
 6.4450e-01  2.1403e-03
 6.4500e-01  2.1702e-03
 6.4550e-01  2.2006e-03
 6.4600e-01  2.2314e-03
 6.4650e-01  2.2627e-03
 6.4700e-01  2.2945e-03
 6.4750e-01  2.3268e-03
 6.4800e-01  2.3596e-03
 6.4850e-01  2.3928e-03
 6.4900e-01  2.4266e-03
 6.4950e-01  2.4609e-03
 6.5000e-01  2.4958e-03
 6.5050e-01  2.5312e-03
 6.5100e-01  2.5671e-03
 6.5150e-01  2.6037e-03
 6.5200e-01  2.6407e-03
 6.5250e-01  2.6784e-03
 6.5300e-01  2.7167e-03
 6.5350e-01  2.7555e-03
 6.5400e-01  2.7950e-03
 6.5450e-01  2.8351e-03
 6.5500e-01  2.8759e-03
 6.5550e-01  2.9173e-03
 6.5600e-01  2.9593e-03
 6.5650e-01  3.0021e-03
 6.5700e-01  3.0455e-03
 6.5750e-01  3.0896e-03
 6.5800e-01  3.1345e-03
 6.5850e-01  3.1800e-03
 6.5900e-01  3.2263e-03
 6.5950e-01  3.2734e-03
 6.6000e-01  3.3212e-03
 6.6050e-01  3.3698e-03
 6.6100e-01  3.4192e-03
 6.6150e-01  3.4694e-03
 6.6200e-01  3.5205e-03
 6.6250e-01  3.5724e-03
 6.6300e-01  3.6251e-03
 6.6350e-01  3.6787e-03
 6.6400e-01  3.7333e-03
 6.6450e-01  3.7887e-03
 6.6500e-01  3.8451e-03
 6.6550e-01  3.9024e-03
 6.6600e-01  3.9606e-03
 6.6650e-01  4.0199e-03
 6.6700e-01  4.0802e-03
 6.6750e-01  4.1415e-03
 6.6800e-01  4.2038e-03
 6.6850e-01  4.2672e-03
 6.6900e-01  4.3317e-03
 6.6950e-01  4.3973e-03
 6.7000e-01  4.4640e-03
 6.7050e-01  4.5319e-03
 6.7100e-01  4.6010e-03
 6.7150e-01  4.6713e-03
 6.7200e-01  4.7428e-03
 6.7250e-01  4.8156e-03
 6.7300e-01  4.8896e-03
 6.7350e-01  4.9650e-03
 6.7400e-01  5.0416e-03
 6.7450e-01  5.1197e-03
 6.7500e-01  5.1991e-03
 6.7550e-01  5.2800e-03
 6.7600e-01  5.3623e-03
 6.7650e-01  5.4461e-03
 6.7700e-01  5.5314e-03
 6.7750e-01  5.6182e-03
 6.7800e-01  5.7066e-03
 6.7850e-01  5.7967e-03
 6.7900e-01  5.8883e-03
 6.7950e-01  5.9817e-03
 6.8000e-01  6.0768e-03
 6.8050e-01  6.1737e-03
 6.8100e-01  6.2723e-03
 6.8150e-01  6.3728e-03
 6.8200e-01  6.4751e-03
 6.8250e-01  6.5794e-03
 6.8300e-01  6.6857e-03
 6.8350e-01  6.7939e-03
 6.8400e-01  6.9042e-03
 6.8450e-01  7.0167e-03
 6.8500e-01  7.1312e-03
 6.8550e-01  7.2480e-03
 6.8600e-01  7.3670e-03
 6.8650e-01  7.4883e-03
 6.8700e-01  7.6120e-03
 6.8750e-01  7.7380e-03
 6.8800e-01  7.8666e-03
 6.8850e-01  7.9976e-03
 6.8900e-01  8.1313e-03
 6.8950e-01  8.2676e-03
 6.9000e-01  8.4066e-03
 6.9050e-01  8.5484e-03
 6.9100e-01  8.6930e-03
 6.9150e-01  8.8405e-03
 6.9200e-01  8.9911e-03
 6.9250e-01  9.1446e-03
 6.9300e-01  9.3013e-03
 6.9350e-01  9.4612e-03
 6.9400e-01  9.6245e-03
 6.9450e-01  9.7910e-03
 6.9500e-01  9.9611e-03
 6.9550e-01  1.0135e-02
 6.9600e-01  1.0312e-02
 6.9650e-01  1.0493e-02
 6.9700e-01  1.0678e-02
 6.9750e-01  1.0866e-02
 6.9800e-01  1.1059e-02
 6.9850e-01  1.1256e-02
 6.9900e-01  1.1457e-02
 6.9950e-01  1.1662e-02
 7.0000e-01  1.1872e-02
 7.0050e-01  1.2086e-02
 7.0100e-01  1.2306e-02
 7.0150e-01  1.2530e-02
 7.0200e-01  1.2759e-02
 7.0250e-01  1.2993e-02
 7.0300e-01  1.3232e-02
 7.0350e-01  1.3476e-02
 7.0400e-01  1.3727e-02
 7.0450e-01  1.3982e-02
 7.0500e-01  1.4244e-02
 7.0550e-01  1.4512e-02
 7.0600e-01  1.4786e-02
 7.0650e-01  1.5066e-02
 7.0700e-01  1.5353e-02
 7.0750e-01  1.5646e-02
 7.0800e-01  1.5946e-02
 7.0850e-01  1.6254e-02
 7.0900e-01  1.6569e-02
 7.0950e-01  1.6891e-02
 7.1000e-01  1.7221e-02
 7.1050e-01  1.7559e-02
 7.1100e-01  1.7906e-02
 7.1150e-01  1.8261e-02
 7.1200e-01  1.8624e-02
 7.1250e-01  1.8997e-02
 7.1300e-01  1.9379e-02
 7.1350e-01  1.9771e-02
 7.1400e-01  2.0172e-02
 7.1450e-01  2.0584e-02
 7.1500e-01  2.1006e-02
 7.1550e-01  2.1439e-02
 7.1600e-01  2.1883e-02
 7.1650e-01  2.2339e-02
 7.1700e-01  2.2807e-02
 7.1750e-01  2.3287e-02
 7.1800e-01  2.3780e-02
 7.1850e-01  2.4286e-02
 7.1900e-01  2.4805e-02
 7.1950e-01  2.5339e-02
 7.2000e-01  2.5887e-02
 7.2050e-01  2.6451e-02
 7.2100e-01  2.7030e-02
 7.2150e-01  2.7625e-02
 7.2200e-01  2.8236e-02
 7.2250e-01  2.8865e-02
 7.2300e-01  2.9512e-02
 7.2350e-01  3.0178e-02
 7.2400e-01  3.0863e-02
 7.2450e-01  3.1567e-02
 7.2500e-01  3.2292e-02
 7.2550e-01  3.3039e-02
 7.2600e-01  3.3808e-02
 7.2650e-01  3.4600e-02
 7.2700e-01  3.5416e-02
 7.2750e-01  3.6256e-02
 7.2800e-01  3.7123e-02
 7.2850e-01  3.8016e-02
 7.2900e-01  3.8937e-02
 7.2950e-01  3.9887e-02
 7.3000e-01  4.0867e-02
 7.3050e-01  4.1879e-02
 7.3100e-01  4.2923e-02
 7.3150e-01  4.4001e-02
 7.3200e-01  4.5115e-02
 7.3250e-01  4.6265e-02
 7.3300e-01  4.7454e-02
 7.3350e-01  4.8683e-02
 7.3400e-01  4.9953e-02
 7.3450e-01  5.1268e-02
 7.3500e-01  5.2627e-02
 7.3550e-01  5.4035e-02
 7.3600e-01  5.5491e-02
 7.3650e-01  5.7000e-02
 7.3700e-01  5.8563e-02
 7.3750e-01  6.0183e-02
 7.3800e-01  6.1863e-02
 7.3850e-01  6.3604e-02
 7.3900e-01  6.5411e-02
 7.3950e-01  6.7286e-02
 7.4000e-01  6.9233e-02
 7.4050e-01  7.1255e-02
 7.4100e-01  7.3356e-02
 7.4150e-01  7.5540e-02
 7.4200e-01  7.7812e-02
 7.4250e-01  8.0175e-02
 7.4300e-01  8.2634e-02
 7.4350e-01  8.5195e-02
 7.4400e-01  8.7863e-02
 7.4450e-01  9.0644e-02
 7.4500e-01  9.3544e-02
 7.4550e-01  9.6570e-02
 7.4600e-01  9.9728e-02
 7.4650e-01  1.0303e-01
 7.4700e-01  1.0647e-01
 7.4750e-01  1.1008e-01
 7.4800e-01  1.1385e-01
 7.4850e-01  1.1779e-01
 7.4900e-01  1.2193e-01
 7.4950e-01  1.2626e-01
 7.5000e-01  1.3080e-01
 7.5050e-01  1.3557e-01
 7.5100e-01  1.4057e-01
 7.5150e-01  1.4583e-01
 7.5200e-01  1.5136e-01
 7.5250e-01  1.5719e-01
 7.5300e-01  1.6332e-01
 7.5350e-01  1.6978e-01
 7.5400e-01  1.7659e-01
 7.5450e-01  1.8379e-01
 7.5500e-01  1.9139e-01
 7.5550e-01  1.9943e-01
 7.5600e-01  2.0795e-01
 7.5650e-01  2.1697e-01
 7.5700e-01  2.2653e-01
 7.5750e-01  2.3669e-01
 7.5800e-01  2.4748e-01
 7.5850e-01  2.5897e-01
 7.5900e-01  2.7120e-01
 7.5950e-01  2.8425e-01
 7.6000e-01  2.9819e-01
 7.6050e-01  3.1308e-01
 7.6100e-01  3.2903e-01
