#     mass     R_mu^F
 5.3650e-01  0.0000e+00
 5.3700e-01  1.0218e-05
 5.3750e-01  1.0058e-05
 5.3800e-01  1.0413e-05
 5.3850e-01  1.0282e-05
 5.3900e-01  1.0666e-05
 5.3950e-01  1.0565e-05
 5.4000e-01  1.0979e-05
 5.4050e-01  1.0909e-05
 5.4100e-01  1.0854e-05
 5.4150e-01  1.1314e-05
 5.4200e-01  1.1291e-05
 5.4250e-01  1.1783e-05
 5.4300e-01  1.1792e-05
 5.4350e-01  1.1817e-05
 5.4400e-01  1.1859e-05
 5.4450e-01  1.1917e-05
 5.4500e-01  1.2493e-05
 5.4550e-01  1.2585e-05
 5.4600e-01  1.2695e-05
 5.4650e-01  1.2823e-05
 5.4700e-01  1.2968e-05
 5.4750e-01  1.3132e-05
 5.4800e-01  1.3313e-05
 5.4850e-01  1.3514e-05
 5.4900e-01  1.3732e-05
 5.4950e-01  1.3970e-05
 5.5000e-01  1.4226e-05
 5.5050e-01  1.4003e-05
 5.5100e-01  1.4298e-05
 5.5150e-01  1.4613e-05
 5.5200e-01  1.4949e-05
 5.5250e-01  1.4805e-05
 5.5300e-01  1.5180e-05
 5.5350e-01  1.5077e-05
 5.5400e-01  1.5495e-05
 5.5450e-01  1.5434e-05
 5.5500e-01  1.5895e-05
 5.5550e-01  1.5877e-05
 5.5600e-01  1.6381e-05
 5.5650e-01  1.6407e-05
 5.5700e-01  1.6457e-05
 5.5750e-01  1.7029e-05
 5.5800e-01  1.7124e-05
 5.5850e-01  1.7242e-05
 5.5900e-01  1.7384e-05
 5.5950e-01  1.7551e-05
 5.6000e-01  1.7741e-05
 5.6050e-01  1.7956e-05
 5.6100e-01  1.8195e-05
 5.6150e-01  1.8460e-05
 5.6200e-01  1.8750e-05
 5.6250e-01  1.9066e-05
 5.6300e-01  1.9408e-05
 5.6350e-01  1.9776e-05
 5.6400e-01  1.9671e-05
 5.6450e-01  2.0093e-05
 5.6500e-01  2.0543e-05
 5.6550e-01  2.0520e-05
 5.6600e-01  2.1025e-05
 5.6650e-01  2.1058e-05
 5.6700e-01  2.1121e-05
 5.6750e-01  2.1712e-05
 5.6800e-01  2.1833e-05
 5.6850e-01  2.1984e-05
 5.6900e-01  2.2164e-05
 5.6950e-01  2.2876e-05
 5.7000e-01  2.3118e-05
 5.7050e-01  2.3392e-05
 5.7100e-01  2.3697e-05
 5.7150e-01  2.4035e-05
 5.7200e-01  2.3905e-05
 5.7250e-01  2.4308e-05
 5.7300e-01  2.3744e-05
 5.7350e-01  2.6714e-05
 5.7400e-01  2.4718e-05
 5.7450e-01  2.7757e-05
 5.7500e-01  2.5831e-05
 5.7550e-01  2.3941e-05
 5.7600e-01  2.7086e-05
 5.7650e-01  2.5268e-05
 5.7700e-01  2.8487e-05
 5.7750e-01  2.6743e-05
 5.7800e-01  3.0038e-05
 5.7850e-01  2.8369e-05
 5.7900e-01  2.6741e-05
 5.7950e-01  3.0151e-05
 5.8000e-01  2.8601e-05
 5.8050e-01  2.7092e-05
 5.8100e-01  3.0623e-05
 5.8150e-01  2.9196e-05
 5.8200e-01  3.2811e-05
 5.8250e-01  3.1468e-05
 5.8300e-01  3.0168e-05
 5.8350e-01  3.3912e-05
 5.8400e-01  3.2700e-05
 5.8450e-01  3.1532e-05
 5.8500e-01  3.0410e-05
 5.8550e-01  3.4333e-05
 5.8600e-01  3.3303e-05
 5.8650e-01  3.2321e-05
 5.8700e-01  3.6386e-05
 5.8750e-01  3.5499e-05
 5.8800e-01  3.4661e-05
 5.8850e-01  3.3873e-05
 5.8900e-01  3.8135e-05
 5.8950e-01  3.7448e-05
 5.9000e-01  3.6813e-05
 5.9050e-01  3.6230e-05
 5.9100e-01  3.5700e-05
 5.9150e-01  4.0224e-05
 5.9200e-01  3.9802e-05
 5.9250e-01  3.9435e-05
 5.9300e-01  3.9125e-05
 5.9350e-01  3.8871e-05
 5.9400e-01  3.8674e-05
 5.9450e-01  3.8536e-05
 5.9500e-01  4.3456e-05
 5.9550e-01  4.3436e-05
 5.9600e-01  4.3477e-05
 5.9650e-01  4.3579e-05
 5.9700e-01  4.3744e-05
 5.9750e-01  4.3972e-05
 5.9800e-01  4.4263e-05
 5.9850e-01  4.4619e-05
 5.9900e-01  4.5042e-05
 5.9950e-01  4.5530e-05
 6.0000e-01  4.6087e-05
 6.0050e-01  4.6713e-05
 6.0100e-01  4.7406e-05
 6.0150e-01  4.8170e-05
 6.0200e-01  4.9004e-05
 6.0250e-01  4.9914e-05
 6.0300e-01  5.0898e-05
 6.0350e-01  5.1953e-05
 6.0400e-01  5.3083e-05
 6.0450e-01  4.9293e-05
 6.0500e-01  5.0578e-05
 6.0550e-01  5.1938e-05
 6.0600e-01  5.3384e-05
 6.0650e-01  5.4910e-05
 6.0700e-01  5.6516e-05
 6.0750e-01  5.3208e-05
 6.0800e-01  5.4979e-05
 6.0850e-01  5.6841e-05
 6.0900e-01  5.8788e-05
 6.0950e-01  5.5820e-05
 6.1000e-01  5.7943e-05
 6.1050e-01  6.0161e-05
 6.1100e-01  5.7464e-05
 6.1150e-01  5.9867e-05
 6.1200e-01  6.2360e-05
 6.1250e-01  5.9949e-05
 6.1300e-01  6.2637e-05
 6.1350e-01  6.5422e-05
 6.1400e-01  6.3306e-05
 6.1450e-01  6.6295e-05
 6.1500e-01  6.4385e-05
 6.1550e-01  6.7580e-05
 6.1600e-01  6.5881e-05
 6.1650e-01  6.9291e-05
 6.1700e-01  6.7807e-05
 6.1750e-01  7.1438e-05
 6.1800e-01  7.0180e-05
 6.1850e-01  6.9036e-05
 6.1900e-01  7.3008e-05
 6.1950e-01  7.2100e-05
 6.2000e-01  7.1307e-05
 6.2050e-01  7.5635e-05
 6.2100e-01  7.5088e-05
 6.2150e-01  7.4666e-05
 6.2200e-01  7.9369e-05
 6.2250e-01  7.9203e-05
 6.2300e-01  7.9172e-05
 6.2350e-01  7.9261e-05
 6.2400e-01  7.9496e-05
 6.2450e-01  7.9861e-05
 6.2500e-01  8.0371e-05
 6.2550e-01  8.1016e-05
 6.2600e-01  8.6807e-05
 6.2650e-01  8.7743e-05
 6.2700e-01  8.3824e-05
 6.2750e-01  8.5056e-05
 6.2800e-01  8.6443e-05
 6.2850e-01  8.7985e-05
 6.2900e-01  8.9677e-05
 6.2950e-01  9.1530e-05
 6.3000e-01  9.3553e-05
 6.3050e-01  9.5727e-05
 6.3100e-01  9.3080e-05
 6.3150e-01  9.5594e-05
 6.3200e-01  9.8284e-05
 6.3250e-01  9.6148e-05
 6.3300e-01  9.9193e-05
 6.3350e-01  1.0242e-04
 6.3400e-01  1.0082e-04
 6.3450e-01  1.0442e-04
 6.3500e-01  1.0320e-04
 6.3550e-01  1.0717e-04
 6.3600e-01  1.0634e-04
 6.3650e-01  1.0571e-04
 6.3700e-01  1.1029e-04
 6.3750e-01  1.1006e-04
 6.3800e-01  1.1005e-04
 6.3850e-01  1.1024e-04
 6.3900e-01  1.1565e-04
 6.3950e-01  1.1628e-04
 6.4000e-01  1.1714e-04
 6.4050e-01  1.1822e-04
 6.4100e-01  1.1953e-04
 6.4150e-01  1.2108e-04
 6.4200e-01  1.2286e-04
 6.4250e-01  1.2488e-04
 6.4300e-01  1.2715e-04
 6.4350e-01  1.2467e-04
 6.4400e-01  1.2745e-04
 6.4450e-01  1.3048e-04
 6.4500e-01  1.2877e-04
 6.4550e-01  1.3234e-04
 6.4600e-01  1.3117e-04
 6.4650e-01  1.3528e-04
 6.4700e-01  1.3467e-04
 6.4750e-01  1.3935e-04
 6.4800e-01  1.3932e-04
 6.4850e-01  1.3959e-04
 6.4900e-01  1.4516e-04
 6.4950e-01  1.4603e-04
 6.5000e-01  1.4721e-04
 6.5050e-01  1.4872e-04
 6.5100e-01  1.5055e-04
 6.5150e-01  1.5270e-04
 6.5200e-01  1.5519e-04
 6.5250e-01  1.5302e-04
 6.5300e-01  1.5620e-04
 6.5350e-01  1.5973e-04
 6.5400e-01  1.5861e-04
 6.5450e-01  1.6286e-04
 6.5500e-01  1.6249e-04
 6.5550e-01  1.6750e-04
 6.5600e-01  1.6789e-04
 6.5650e-01  1.6867e-04
 6.5700e-01  1.7485e-04
 6.5750e-01  1.7644e-04
 6.5800e-01  1.7845e-04
 6.5850e-01  1.8087e-04
 6.5900e-01  1.7873e-04
 6.5950e-01  1.8203e-04
 6.6000e-01  1.8577e-04
 6.6050e-01  1.8997e-04
 6.6100e-01  1.8962e-04
 6.6150e-01  1.8976e-04
 6.6200e-01  1.9537e-04
 6.6250e-01  1.9647e-04
 6.6300e-01  1.9807e-04
 6.6350e-01  2.0019e-04
 6.6400e-01  2.0281e-04
 6.6450e-01  2.0597e-04
 6.6500e-01  2.0966e-04
 6.6550e-01  2.0891e-04
 6.6600e-01  2.1372e-04
 6.6650e-01  2.1409e-04
 6.6700e-01  2.2005e-04
 6.6750e-01  2.2160e-04
 6.6800e-01  2.2375e-04
 6.6850e-01  2.2653e-04
 6.6900e-01  2.2993e-04
 6.6950e-01  2.3397e-04
 6.7000e-01  2.3368e-04
 6.7050e-01  2.3904e-04
 6.7100e-01  2.4009e-04
 6.7150e-01  2.4183e-04
 6.7200e-01  2.4928e-04
 6.7250e-01  2.5246e-04
 6.7300e-01  2.5138e-04
 6.7350e-01  2.5604e-04
 6.7400e-01  2.6148e-04
 6.7450e-01  2.6271e-04
 6.7500e-01  2.6473e-04
 6.7550e-01  2.6758e-04
 6.7600e-01  2.7125e-04
 6.7650e-01  2.7578e-04
 6.7700e-01  2.8119e-04
 6.7750e-01  2.8248e-04
 6.7800e-01  2.8469e-04
 6.7850e-01  2.8781e-04
 6.7900e-01  2.9189e-04
 6.7950e-01  2.9693e-04
 6.8000e-01  3.0297e-04
 6.8050e-01  3.0501e-04
 6.8100e-01  3.0809e-04
 6.8150e-01  3.1223e-04
 6.8200e-01  3.1744e-04
 6.8250e-01  3.1875e-04
 6.8300e-01  3.2620e-04
 6.8350e-01  3.2980e-04
 6.8400e-01  3.2957e-04
 6.8450e-01  3.3555e-04
 6.8500e-01  3.4276e-04
 6.8550e-01  3.4624e-04
 6.8600e-01  3.5100e-04
 6.8650e-01  3.5208e-04
 6.8700e-01  3.5951e-04
 6.8750e-01  3.6333e-04
 6.8800e-01  3.6855e-04
 6.8850e-01  3.7022e-04
 6.8900e-01  3.7837e-04
 6.8950e-01  3.8301e-04
 6.9000e-01  3.8426e-04
 6.9050e-01  3.9206e-04
 6.9100e-01  3.9646e-04
 6.9150e-01  4.0256e-04
 6.9200e-01  4.0537e-04
 6.9250e-01  4.0992e-04
 6.9300e-01  4.1623e-04
 6.9350e-01  4.2438e-04
 6.9400e-01  4.2944e-04
 6.9450e-01  4.3640e-04
 6.9500e-01  4.4036e-04
 6.9550e-01  4.4632e-04
 6.9600e-01  4.4933e-04
 6.9650e-01  4.5954e-04
 6.9700e-01  4.6185e-04
 6.9750e-01  4.7147e-04
 6.9800e-01  4.7833e-04
 6.9850e-01  4.8255e-04
 6.9900e-01  4.8916e-04
 6.9950e-01  4.9328e-04
 7.0000e-01  4.9995e-04
 7.0050e-01  5.0917e-04
 7.0100e-01  5.1614e-04
 7.0150e-01  5.2081e-04
 7.0200e-01  5.2833e-04
 7.0250e-01  5.3876e-04
 7.0300e-01  5.4213e-04
 7.0350e-01  5.5360e-04
 7.0400e-01  5.5813e-04
 7.0450e-01  5.6601e-04
 7.0500e-01  5.7714e-04
 7.0550e-01  5.8172e-04
 7.0600e-01  5.8975e-04
 7.0650e-01  6.0143e-04
 7.0700e-01  6.0681e-04
 7.0750e-01  6.1604e-04
 7.0800e-01  6.2413e-04
 7.0850e-01  6.3132e-04
 7.0900e-01  6.4265e-04
 7.0950e-01  6.5329e-04
 7.1000e-01  6.5828e-04
 7.1050e-01  6.6787e-04
 7.1100e-01  6.7711e-04
 7.1150e-01  6.9116e-04
 7.1200e-01  7.0015e-04
 7.1250e-01  7.0924e-04
 7.1300e-01  7.1864e-04
 7.1350e-01  7.2849e-04
 7.1400e-01  7.3894e-04
 7.1450e-01  7.5009e-04
 7.1500e-01  7.6229e-04
 7.1550e-01  7.7559e-04
 7.1600e-01  7.8525e-04
 7.1650e-01  7.9650e-04
 7.1700e-01  8.0946e-04
 7.1750e-01  8.1941e-04
 7.1800e-01  8.3162e-04
 7.1850e-01  8.4623e-04
 7.1900e-01  8.5860e-04
 7.1950e-01  8.6886e-04
 7.2000e-01  8.8237e-04
 7.2050e-01  8.9944e-04
 7.2100e-01  9.1026e-04
 7.2150e-01  9.2522e-04
 7.2200e-01  9.3959e-04
 7.2250e-01  9.5372e-04
 7.2300e-01  9.6799e-04
 7.2350e-01  9.8266e-04
 7.2400e-01  9.9824e-04
 7.2450e-01  1.0150e-03
 7.2500e-01  1.0334e-03
 7.2550e-01  1.0490e-03
 7.2600e-01  1.0670e-03
 7.2650e-01  1.0830e-03
 7.2700e-01  1.0975e-03
 7.2750e-01  1.1161e-03
 7.2800e-01  1.1342e-03
 7.2850e-01  1.1523e-03
 7.2900e-01  1.1763e-03
 7.2950e-01  1.1915e-03
 7.3000e-01  1.2136e-03
 7.3050e-01  1.2334e-03
 7.3100e-01  1.2566e-03
 7.3150e-01  1.2740e-03
 7.3200e-01  1.2962e-03
 7.3250e-01  1.3192e-03
 7.3300e-01  1.3437e-03
 7.3350e-01  1.3658e-03
 7.3400e-01  1.3914e-03
 7.3450e-01  1.4116e-03
 7.3500e-01  1.4373e-03
 7.3550e-01  1.4648e-03
 7.3600e-01  1.4902e-03
 7.3650e-01  1.5147e-03
 7.3700e-01  1.5448e-03
 7.3750e-01  1.5717e-03
 7.3800e-01  1.6022e-03
 7.3850e-01  1.6325e-03
 7.3900e-01  1.6595e-03
 7.3950e-01  1.6898e-03
 7.4000e-01  1.7254e-03
 7.4050e-01  1.7533e-03
 7.4100e-01  1.7905e-03
 7.4150e-01  1.8242e-03
 7.4200e-01  1.8569e-03
 7.4250e-01  1.8960e-03
 7.4300e-01  1.9343e-03
 7.4350e-01  1.9695e-03
 7.4400e-01  2.0096e-03
 7.4450e-01  2.0484e-03
 7.4500e-01  2.0936e-03
 7.4550e-01  2.1339e-03
 7.4600e-01  2.1791e-03
 7.4650e-01  2.2224e-03
 7.4700e-01  2.2691e-03
 7.4750e-01  2.3184e-03
 7.4800e-01  2.3656e-03
 7.4850e-01  2.4169e-03
 7.4900e-01  2.4737e-03
 7.4950e-01  2.5254e-03
 7.5000e-01  2.5807e-03
 7.5050e-01  2.6365e-03
 7.5100e-01  2.7008e-03
 7.5150e-01  2.7576e-03
 7.5200e-01  2.8258e-03
 7.5250e-01  2.8911e-03
 7.5300e-01  2.9599e-03
 7.5350e-01  3.0282e-03
 7.5400e-01  3.1000e-03
 7.5450e-01  3.1793e-03
 7.5500e-01  3.2561e-03
 7.5550e-01  3.3374e-03
