#     mass     R_mu^F
 4.1950e-01  0.0000e+00
 4.2000e-01  7.4016e-24
 4.2050e-01  8.0057e-11
 4.2100e-01  1.8705e-10
 4.2150e-01  3.2113e-10
 4.2200e-01  4.8246e-10
 4.2250e-01  6.7120e-10
 4.2300e-01  8.8752e-10
 4.2350e-01  1.1316e-09
 4.2400e-01  1.4035e-09
 4.2450e-01  1.7035e-09
 4.2500e-01  2.0318e-09
 4.2550e-01  2.3885e-09
 4.2600e-01  2.7737e-09
 4.2650e-01  3.1877e-09
 4.2700e-01  3.6306e-09
 4.2750e-01  4.1026e-09
 4.2800e-01  4.6039e-09
 4.2850e-01  5.1347e-09
 4.2900e-01  5.6950e-09
 4.2950e-01  6.2852e-09
 4.3000e-01  6.9054e-09
 4.3050e-01  7.5557e-09
 4.3100e-01  8.2365e-09
 4.3150e-01  8.9477e-09
 4.3200e-01  9.6898e-09
 4.3250e-01  1.0463e-08
 4.3300e-01  1.1267e-08
 4.3350e-01  1.2102e-08
 4.3400e-01  1.2969e-08
 4.3450e-01  1.3868e-08
 4.3500e-01  1.4798e-08
 4.3550e-01  1.5761e-08
 4.3600e-01  1.6756e-08
 4.3650e-01  1.7783e-08
 4.3700e-01  1.8844e-08
 4.3750e-01  1.9937e-08
 4.3800e-01  2.1063e-08
 4.3850e-01  2.2223e-08
 4.3900e-01  2.3416e-08
 4.3950e-01  2.4643e-08
 4.4000e-01  2.5904e-08
 4.4050e-01  2.7200e-08
 4.4100e-01  2.8530e-08
 4.4150e-01  2.9894e-08
 4.4200e-01  3.1293e-08
 4.4250e-01  3.2728e-08
 4.4300e-01  3.4197e-08
 4.4350e-01  3.5703e-08
 4.4400e-01  3.7244e-08
 4.4450e-01  3.8821e-08
 4.4500e-01  4.0435e-08
 4.4550e-01  4.2085e-08
 4.4600e-01  4.3772e-08
 4.4650e-01  4.5496e-08
 4.4700e-01  4.7257e-08
 4.4750e-01  4.9056e-08
 4.4800e-01  5.0892e-08
 4.4850e-01  5.2767e-08
 4.4900e-01  5.4680e-08
 4.4950e-01  5.6631e-08
 4.5000e-01  5.8621e-08
 4.5050e-01  6.0650e-08
 4.5100e-01  6.2719e-08
 4.5150e-01  6.4827e-08
 4.5200e-01  6.6975e-08
 4.5250e-01  6.9163e-08
 4.5300e-01  7.1392e-08
 4.5350e-01  7.3661e-08
 4.5400e-01  7.5971e-08
 4.5450e-01  7.8322e-08
 4.5500e-01  8.0715e-08
 4.5550e-01  8.3150e-08
 4.5600e-01  8.5627e-08
 4.5650e-01  8.8146e-08
 4.5700e-01  9.0708e-08
 4.5750e-01  9.3313e-08
 4.5800e-01  9.5961e-08
 4.5850e-01  9.8653e-08
 4.5900e-01  1.0139e-07
 4.5950e-01  1.0417e-07
 4.6000e-01  1.0699e-07
 4.6050e-01  1.0986e-07
 4.6100e-01  1.1278e-07
 4.6150e-01  1.1574e-07
 4.6200e-01  1.1874e-07
 4.6250e-01  1.2179e-07
 4.6300e-01  1.2489e-07
 4.6350e-01  1.2804e-07
 4.6400e-01  1.3123e-07
 4.6450e-01  1.3447e-07
 4.6500e-01  1.3776e-07
 4.6550e-01  1.4109e-07
 4.6600e-01  1.4447e-07
 4.6650e-01  1.4791e-07
 4.6700e-01  1.5139e-07
 4.6750e-01  1.5492e-07
 4.6800e-01  1.5850e-07
 4.6850e-01  1.6213e-07
 4.6900e-01  1.6581e-07
 4.6950e-01  1.6955e-07
 4.7000e-01  1.7333e-07
 4.7050e-01  1.7717e-07
 4.7100e-01  1.8105e-07
 4.7150e-01  1.8499e-07
 4.7200e-01  1.8899e-07
 4.7250e-01  1.9303e-07
 4.7300e-01  1.9713e-07
 4.7350e-01  2.0129e-07
 4.7400e-01  2.0549e-07
 4.7450e-01  2.0976e-07
 4.7500e-01  2.1408e-07
 4.7550e-01  2.1845e-07
 4.7600e-01  2.2288e-07
 4.7650e-01  2.2737e-07
 4.7700e-01  2.3191e-07
 4.7750e-01  2.3651e-07
 4.7800e-01  2.4117e-07
 4.7850e-01  2.4588e-07
 4.7900e-01  2.5066e-07
 4.7950e-01  2.5549e-07
 4.8000e-01  2.6038e-07
 4.8050e-01  2.6534e-07
 4.8100e-01  2.7035e-07
 4.8150e-01  2.7542e-07
 4.8200e-01  2.8056e-07
 4.8250e-01  2.8575e-07
 4.8300e-01  2.9101e-07
 4.8350e-01  2.9633e-07
 4.8400e-01  3.0172e-07
 4.8450e-01  3.0717e-07
 4.8500e-01  3.1268e-07
 4.8550e-01  3.1826e-07
 4.8600e-01  3.2390e-07
 4.8650e-01  3.2960e-07
 4.8700e-01  3.3537e-07
 4.8750e-01  3.4121e-07
 4.8800e-01  3.4712e-07
 4.8850e-01  3.5309e-07
 4.8900e-01  3.5913e-07
 4.8950e-01  3.6524e-07
 4.9000e-01  3.7142e-07
 4.9050e-01  3.7767e-07
 4.9100e-01  3.8399e-07
 4.9150e-01  3.9038e-07
 4.9200e-01  3.9684e-07
 4.9250e-01  4.0337e-07
 4.9300e-01  4.0998e-07
 4.9350e-01  4.1665e-07
 4.9400e-01  4.2340e-07
 4.9450e-01  4.3023e-07
 4.9500e-01  4.3713e-07
 4.9550e-01  4.4410e-07
 4.9600e-01  4.5115e-07
 4.9650e-01  4.5827e-07
 4.9700e-01  4.6547e-07
 4.9750e-01  4.7275e-07
 4.9800e-01  4.8011e-07
 4.9850e-01  4.8755e-07
 4.9900e-01  4.9506e-07
 4.9950e-01  5.0266e-07
 5.0000e-01  5.1033e-07
 5.0050e-01  5.1809e-07
 5.0100e-01  5.2592e-07
 5.0150e-01  5.3384e-07
 5.0200e-01  5.4185e-07
 5.0250e-01  5.4993e-07
 5.0300e-01  5.5810e-07
 5.0350e-01  5.6636e-07
 5.0400e-01  5.7470e-07
 5.0450e-01  5.8312e-07
 5.0500e-01  5.9163e-07
 5.0550e-01  6.0024e-07
 5.0600e-01  6.0892e-07
 5.0650e-01  6.1770e-07
 5.0700e-01  6.2657e-07
 5.0750e-01  6.3553e-07
 5.0800e-01  6.4457e-07
 5.0850e-01  6.5371e-07
 5.0900e-01  6.6294e-07
 5.0950e-01  6.7227e-07
