#     mass     R_mu^F
 1.4000e-01  0.0000e+00
 1.4050e-01  3.4022e-13
 1.4100e-01  2.7086e-12
 1.4150e-01  9.0978e-12
 1.4200e-01  2.1462e-11
 1.4250e-01  4.1720e-11
 1.4300e-01  7.1752e-11
 1.4350e-01  1.1341e-10
 1.4400e-01  1.6850e-10
 1.4450e-01  2.3880e-10
 1.4500e-01  3.2607e-10
 1.4550e-01  4.3201e-10
 1.4600e-01  5.5833e-10
 1.4650e-01  7.0666e-10
 1.4700e-01  8.7865e-10
 1.4750e-01  1.0759e-09
 1.4800e-01  1.2999e-09
 1.4850e-01  1.5524e-09
 1.4900e-01  1.8347e-09
 1.4950e-01  2.1484e-09
 1.5000e-01  2.4949e-09
 1.5050e-01  2.8758e-09
 1.5100e-01  3.2924e-09
 1.5150e-01  3.7461e-09
 1.5200e-01  4.2383e-09
 1.5250e-01  4.7703e-09
 1.5300e-01  5.3436e-09
 1.5350e-01  5.9594e-09
 1.5400e-01  6.6190e-09
 1.5450e-01  7.3237e-09
 1.5500e-01  8.0748e-09
 1.5550e-01  8.8734e-09
 1.5600e-01  9.7209e-09
 1.5650e-01  1.0618e-08
 1.5700e-01  1.1567e-08
 1.5750e-01  1.2568e-08
 1.5800e-01  1.3623e-08
 1.5850e-01  1.4732e-08
 1.5900e-01  1.5897e-08
 1.5950e-01  1.7119e-08
 1.6000e-01  1.8400e-08
 1.6050e-01  1.9739e-08
 1.6100e-01  2.1138e-08
 1.6150e-01  2.2599e-08
 1.6200e-01  2.4122e-08
 1.6250e-01  2.5708e-08
 1.6300e-01  2.7359e-08
 1.6350e-01  2.9075e-08
 1.6400e-01  3.0857e-08
 1.6450e-01  3.2707e-08
 1.6500e-01  3.4625e-08
 1.6550e-01  3.6612e-08
 1.6600e-01  3.8670e-08
 1.6650e-01  4.0799e-08
 1.6700e-01  4.3000e-08
 1.6750e-01  4.5274e-08
 1.6800e-01  4.7622e-08
 1.6850e-01  5.0045e-08
 1.6900e-01  5.2543e-08
 1.6950e-01  5.5119e-08
 1.7000e-01  5.7772e-08
 1.7050e-01  6.0503e-08
 1.7100e-01  6.3314e-08
 1.7150e-01  6.6205e-08
 1.7200e-01  6.9177e-08
 1.7250e-01  7.2231e-08
 1.7300e-01  7.5367e-08
 1.7350e-01  7.8588e-08
 1.7400e-01  8.1892e-08
 1.7450e-01  8.5282e-08
 1.7500e-01  8.8758e-08
 1.7550e-01  9.2321e-08
 1.7600e-01  9.5971e-08
 1.7650e-01  9.9710e-08
 1.7700e-01  1.0354e-07
 1.7750e-01  1.0746e-07
 1.7800e-01  1.1146e-07
 1.7850e-01  1.1557e-07
 1.7900e-01  1.1976e-07
 1.7950e-01  1.2404e-07
 1.8000e-01  1.2843e-07
 1.8050e-01  1.3290e-07
 1.8100e-01  1.3747e-07
 1.8150e-01  1.4214e-07
 1.8200e-01  1.4690e-07
 1.8250e-01  1.5176e-07
 1.8300e-01  1.5672e-07
 1.8350e-01  1.6178e-07
 1.8400e-01  1.6694e-07
 1.8450e-01  1.7220e-07
 1.8500e-01  1.7756e-07
 1.8550e-01  1.8303e-07
 1.8600e-01  1.8859e-07
 1.8650e-01  1.9426e-07
 1.8700e-01  2.0004e-07
 1.8750e-01  2.0592e-07
 1.8800e-01  2.1190e-07
 1.8850e-01  2.1799e-07
 1.8900e-01  2.2419e-07
 1.8950e-01  2.3050e-07
 1.9000e-01  2.3691e-07
